Win,Lose,Draw
0,0,0
311,635,54
323,632,45
377,571,52
352,575,73
364,560,76
360,584,56
381,552,67
391,533,76
370,565,65
391,534,75
365,563,72
404,513,83
426,503,71
381,548,71
407,529,64
388,549,63
403,524,73
413,517,70
423,507,70
417,511,72
411,512,77
422,492,86
427,511,62
443,488,69
418,508,74
396,535,69
395,506,99
441,489,70
437,487,76
430,501,69
438,491,71
470,453,77
416,520,64
450,461,89
426,495,79
416,482,102
457,477,66
433,496,71
400,514,86
437,487,76
401,519,80
439,479,82
417,504,79
435,468,97
454,456,90
408,518,74
402,514,84
416,506,78
427,495,78
408,505,87
439,479,82
457,463,80
433,492,75
439,486,75
422,496,82
435,468,97
415,517,68
431,486,83
407,499,94
427,517,56
435,478,87
416,492,92
415,507,78
423,505,72
444,474,82
452,472,76
422,494,84
400,515,85
401,505,94
423,498,79
415,498,87
406,507,87
431,494,75
428,497,75
428,486,86
425,480,95
444,479,77
420,506,74
458,453,89
416,495,89
414,490,96
421,474,105
421,484,95
466,448,86
430,481,89
427,501,72
447,462,91
415,494,91
445,483,72
443,490,67
398,527,75
394,529,77
448,487,65
435,493,72
437,491,72
427,484,89
449,491,60
442,489,69
424,485,91
427,492,81
467,458,75
425,482,93
428,481,91
426,495,79
450,484,66
434,474,92
434,472,94
441,485,74
438,481,81
465,454,81
453,459,88
443,483,74
416,501,83
423,504,73
431,486,83
406,516,78
436,482,82
452,461,87
415,510,75
431,482,87
418,494,88
429,487,84
434,485,81
433,494,73
428,498,74
415,520,65
430,494,76
421,497,82
458,471,71
446,478,76
431,496,73
434,480,86
426,475,99
410,507,83
423,494,83
402,520,78
424,484,92
439,494,67
398,519,83
436,486,78
439,485,76
426,491,83
450,462,88
438,469,93
421,498,81
432,484,84
420,482,98
423,504,73
463,454,83
421,491,88
432,487,81
445,474,81
418,502,80
424,490,86
449,468,83
456,472,72
418,493,89
425,482,93
443,484,73
436,502,62
447,469,84
430,482,88
441,481,78
426,502,72
429,490,81
436,482,82
419,481,100
412,500,88
407,492,101
461,458,81
414,509,77
427,487,86
458,452,90
434,500,66
446,479,75
447,464,89
447,475,78
455,458,87
425,483,92
424,486,90
430,482,88
421,503,76
421,503,76
430,487,83
421,512,67
426,495,79
439,481,80
432,478,90
424,493,83
420,495,85
434,475,91
426,495,79
444,471,85
447,487,66
423,489,88
454,474,72
438,487,75
391,531,78
416,512,72
440,475,85
472,441,87
451,461,88
412,498,90
445,472,83
432,477,91
435,478,87
396,528,76
422,481,97
450,477,73
398,514,88
456,475,69
441,471,88
395,520,85
443,474,83
427,488,85
434,471,95
439,490,71
434,485,81
443,473,84
436,484,80
427,480,93
434,488,78
430,485,85
453,458,89
437,486,77
432,467,101
450,450,100
405,491,104
444,465,91
446,463,91
434,478,88
441,477,82
416,506,78
420,498,82
419,502,79
436,488,76
410,505,85
451,493,56
408,512,80
431,496,73
409,509,82
426,496,78
443,478,79
454,468,78
400,515,85
434,482,84
442,488,70
414,509,77
420,500,80
430,496,74
438,481,81
425,488,87
410,501,89
431,481,88
435,486,79
448,479,73
435,480,85
442,464,94
454,463,83
421,489,90
431,479,90
430,495,75
418,493,89
434,476,90
425,491,84
439,478,83
450,469,81
455,483,62
424,503,73
426,494,80
437,473,90
423,492,85
441,474,85
428,484,88
438,483,79
419,508,73
432,477,91
435,495,70
432,480,88
424,478,98
436,485,79
424,482,94
439,485,76
432,489,79
431,487,82
438,503,59
436,474,90
454,469,77
436,494,70
456,465,79
421,492,87
430,498,72
438,472,90
411,486,103
451,478,71
442,488,70
438,484,78
449,477,74
415,506,79
441,482,77
438,461,101
462,447,91
446,479,75
429,494,77
458,453,89
434,491,75
432,483,85
427,486,87
410,504,86
416,501,83
444,472,84
429,486,85
429,508,63
423,496,81
422,491,87
443,472,85
452,481,67
432,484,84
433,482,85
414,517,69
449,495,56
442,475,83
423,496,81
408,519,73
434,481,85
424,494,82
436,477,87
432,483,85
401,508,91
427,478,95
432,484,84
450,462,88
402,497,101
423,498,79
443,496,61
423,503,74
438,498,64
422,485,93
417,504,79
434,500,66
425,503,72
406,503,91
448,479,73
433,480,87
442,475,83
433,501,66
441,464,95
414,515,71
425,481,94
423,489,88
458,483,59
437,477,86
441,475,84
399,517,84
452,483,65
434,477,89
410,499,91
436,492,72
452,474,74
406,515,79
415,501,84
418,491,91
457,469,74
411,509,80
418,505,77
451,476,73
432,487,81
444,484,72
427,484,89
425,489,86
393,524,83
418,504,78
409,501,90
428,482,90
429,475,96
417,497,86
432,494,74
447,474,79
433,495,72
396,531,73
430,490,80
422,501,77
444,467,89
409,509,82
462,453,85
410,489,101
417,490,93
413,498,89
402,505,93
411,494,95
425,492,83
428,486,86
454,466,80
443,468,89
429,487,84
413,509,78
421,503,76
403,521,76
418,489,93
414,491,95
403,512,85
448,476,76
431,479,90
414,501,85
442,480,78
424,499,77
419,509,72
416,501,83
426,502,72
412,499,89
465,453,82
429,488,83
450,478,72
413,496,91
439,488,73
445,473,82
429,486,85
413,516,71
430,482,88
406,515,79
453,461,86
441,488,71
419,476,105
427,496,77
446,473,81
460,465,75
432,493,75
382,530,88
424,489,87
435,492,73
436,492,72
402,517,81
418,503,79
443,489,68
435,491,74
424,473,103
432,488,80
417,508,75
442,490,68
437,468,95
415,500,85
448,466,86
403,503,94
419,493,88
427,488,85
450,469,81
393,514,93
422,484,94
432,486,82
419,490,91
437,482,81
