Win,Lose,Draw
0,0,0
390,549,61
402,534,64
374,568,58
404,530,66
382,554,64
379,560,61
389,541,70
370,572,58
384,554,62
379,551,70
387,546,67
374,560,66
349,582,69
380,550,70
382,550,68
379,556,65
418,516,66
373,564,63
350,584,66
368,577,55
375,565,60
365,569,66
401,521,78
390,545,65
369,559,72
386,556,58
397,533,70
370,559,71
389,561,50
375,557,68
361,580,59
398,548,54
387,552,61
379,558,63
373,558,69
381,557,62
385,559,56
374,576,50
388,561,51
381,565,54
376,557,67
358,576,66
382,557,61
373,563,64
366,581,53
362,575,63
387,550,63
383,551,66
381,549,70
390,551,59
398,537,65
389,538,73
400,548,52
367,570,63
383,560,57
405,533,62
398,541,61
383,552,65
384,558,58
382,547,71
360,583,57
388,549,63
389,540,71
373,561,66
380,560,60
387,559,54
368,576,56
354,570,76
416,521,63
375,548,77
360,586,54
384,566,50
386,553,61
375,562,63
379,546,75
395,554,51
385,546,69
379,553,68
362,564,74
379,550,71
375,562,63
383,559,58
390,557,53
367,582,51
368,554,78
382,556,62
367,578,55
360,576,64
416,512,72
389,556,55
412,526,62
389,547,64
362,578,60
385,557,58
351,587,62
399,547,54
378,560,62
412,535,53
357,568,75
368,570,62
349,581,70
370,564,66
366,570,64
372,556,72
360,583,57
364,586,50
392,553,55
372,568,60
372,561,67
378,549,73
396,542,62
382,534,84
354,579,67
373,568,59
409,531,60
379,555,66
387,543,70
404,534,62
389,559,52
403,535,62
385,547,68
378,556,66
401,555,44
389,550,61
355,588,57
380,547,73
374,574,52
404,516,80
399,524,77
363,575,62
372,560,68
391,545,64
375,563,62
384,549,67
348,591,61
369,559,72
370,575,55
369,570,61
382,559,59
362,573,65
384,547,69
387,536,77
423,527,50
424,523,53
368,557,75
404,528,68
386,560,54
401,534,65
372,566,62
377,556,67
370,565,65
394,555,51
389,549,62
352,576,72
412,538,50
370,567,63
384,557,59
393,543,64
381,552,67
404,538,58
390,551,59
385,547,68
361,571,68
370,571,59
378,561,61
380,554,66
406,541,53
404,533,63
372,575,53
380,561,59
356,585,59
371,552,77
374,566,60
373,553,74
369,557,74
392,551,57
404,545,51
369,562,69
385,561,54
368,559,73
381,553,66
401,536,63
410,527,63
389,540,71
367,574,59
380,553,67
400,536,64
390,532,78
384,551,65
377,548,75
408,535,57
383,544,73
377,556,67
380,554,66
371,555,74
384,536,80
391,548,61
378,551,71
395,545,60
398,531,71
385,542,73
399,545,56
374,566,60
377,569,54
370,565,65
380,558,62
358,583,59
403,537,60
374,563,63
397,547,56
376,551,73
367,556,77
414,524,62
382,554,64
390,544,66
377,555,68
371,564,65
408,527,65
384,553,63
390,555,55
373,567,60
363,577,60
391,537,72
428,508,64
375,559,66
374,559,67
360,578,62
394,552,54
364,583,53
394,550,56
366,566,68
397,543,60
363,552,85
397,554,49
386,555,59
368,560,72
371,551,78
377,571,52
369,555,76
374,561,65
389,543,68
372,569,59
389,555,56
370,561,69
393,552,55
399,539,62
393,546,61
389,540,71
383,542,75
386,547,67
391,545,64
360,575,65
383,555,62
368,569,63
389,530,81
390,555,55
378,540,82
400,545,55
383,540,77
396,544,60
360,556,84
375,564,61
408,517,75
378,551,71
382,560,58
380,552,68
374,560,66
378,560,62
393,540,67
391,541,68
372,573,55
399,529,72
388,545,67
381,568,51
374,567,59
355,565,80
389,533,78
367,571,62
387,527,86
367,572,61
364,570,66
372,562,66
413,526,61
389,545,66
408,536,56
368,566,66
394,541,65
385,555,60
385,550,65
373,567,60
365,552,83
387,549,64
377,550,73
397,540,63
388,551,61
389,547,64
382,562,56
399,539,62
378,547,75
417,528,55
421,530,49
432,510,58
363,562,75
384,557,59
373,570,57
374,562,64
386,540,74
384,537,79
394,557,49
385,545,70
380,551,69
379,552,69
394,552,54
364,568,68
389,545,66
392,541,67
411,528,61
373,557,70
380,556,64
389,543,68
390,557,53
386,545,69
379,555,66
373,572,55
368,564,68
391,532,77
369,559,72
387,553,60
377,553,70
409,538,53
394,541,65
399,543,58
371,559,70
385,549,66
386,556,58
380,542,78
357,581,62
372,574,54
367,567,66
382,542,76
368,585,47
390,540,70
398,537,65
407,541,52
389,550,61
392,538,70
386,546,68
374,552,74
373,559,68
376,568,56
405,537,58
381,560,59
375,549,76
387,539,74
381,565,54
397,546,57
371,576,53
380,552,68
396,552,52
412,540,48
367,576,57
371,562,67
388,538,74
386,556,58
385,560,55
398,531,71
382,555,63
378,553,69
380,557,63
387,555,58
374,567,59
395,536,69
386,550,64
373,551,76
379,562,59
418,525,57
382,547,71
378,563,59
391,545,64
373,575,52
409,532,59
361,569,70
390,552,58
363,576,61
