Win,Lose,Draw
0,0,0
346,599,55
344,587,69
336,607,57
360,577,63
339,597,64
361,583,56
344,599,57
351,590,59
353,595,52
333,597,70
345,605,50
337,603,60
342,600,58
336,597,67
329,604,67
344,593,63
366,576,58
339,591,70
331,612,57
383,558,59
389,561,50
352,593,55
358,581,61
368,569,63
356,588,56
348,589,63
355,575,70
341,601,58
354,589,57
349,598,53
355,585,60
369,577,54
340,598,62
380,552,68
355,594,51
337,585,78
342,595,63
356,584,60
354,573,73
356,581,63
339,599,62
345,605,50
337,615,48
339,611,50
378,559,63
357,594,49
341,611,48
330,615,55
348,591,61
342,605,53
376,573,51
333,606,61
361,585,54
357,570,73
351,582,67
340,601,59
360,578,62
325,611,64
365,567,68
350,575,75
339,612,49
368,569,63
331,598,71
350,597,53
346,602,52
325,621,54
371,560,69
341,577,82
338,604,58
352,593,55
340,607,53
369,564,67
343,584,73
331,619,50
345,591,64
359,587,54
372,565,63
366,577,57
364,576,60
350,592,58
368,581,51
362,588,50
365,574,61
361,581,58
334,613,53
361,561,78
349,596,55
326,605,69
381,557,62
346,589,65
341,588,71
323,624,53
348,588,64
369,571,60
347,596,57
321,622,57
330,613,57
367,580,53
348,584,68
366,570,64
344,583,73
340,600,60
340,594,66
331,608,61
352,586,62
390,547,63
326,620,54
361,576,63
355,584,61
359,587,54
356,581,63
363,585,52
355,572,73
347,595,58
359,589,52
328,601,71
352,581,67
376,563,61
341,595,64
347,592,61
373,569,58
357,586,57
351,583,66
347,593,60
354,565,81
366,573,61
345,593,62
354,600,46
347,589,64
351,587,62
335,608,57
364,572,64
355,587,58
352,600,48
355,587,58
340,597,63
368,564,68
335,599,66
344,597,59
352,587,61
361,582,57
356,576,68
386,558,56
360,578,62
348,588,64
360,580,60
348,594,58
359,586,55
351,596,53
340,610,50
378,572,50
359,573,68
355,583,62
345,591,64
339,594,67
348,584,68
357,573,70
348,587,65
347,592,61
358,589,53
404,540,56
327,601,72
332,600,68
355,584,61
368,574,58
392,545,63
363,582,55
323,614,63
344,598,58
353,575,72
346,593,61
339,592,69
353,574,73
375,560,65
364,581,55
373,567,60
369,570,61
321,625,54
353,593,54
351,588,61
359,573,68
359,584,57
360,580,60
350,588,62
350,588,62
356,571,73
323,598,79
331,605,64
351,587,62
372,574,54
346,577,77
359,577,64
333,602,65
360,591,49
370,573,57
363,565,72
353,587,60
381,569,50
332,587,81
339,601,60
340,593,67
360,581,59
396,542,62
344,585,71
341,606,53
350,588,62
375,561,64
351,584,65
344,592,64
361,578,61
368,559,73
328,611,61
376,553,71
362,576,62
336,598,66
329,608,63
335,606,59
357,587,56
326,598,76
358,574,68
358,592,50
364,577,59
334,618,48
335,608,57
350,594,56
382,562,56
345,585,70
326,612,62
330,601,69
349,598,53
361,578,61
357,594,49
327,620,53
342,601,57
365,576,59
356,587,57
330,605,65
343,600,57
337,606,57
358,581,61
338,604,58
365,586,49
354,580,66
335,604,61
359,586,55
342,598,60
394,547,59
349,591,60
336,604,60
344,604,52
351,584,65
324,611,65
380,562,58
390,561,49
349,583,68
366,585,49
333,611,56
329,606,65
352,586,62
353,585,62
346,592,62
356,580,64
372,572,56
359,580,61
356,584,60
359,569,72
354,600,46
350,595,55
373,564,63
353,577,70
336,594,70
365,584,51
338,595,67
341,583,76
351,591,58
335,602,63
352,586,62
346,587,67
370,573,57
330,610,60
349,594,57
349,580,71
349,586,65
341,599,60
375,569,56
367,590,43
332,606,62
363,570,67
363,573,64
333,604,63
328,605,67
388,555,57
356,583,61
370,583,47
334,593,73
346,585,69
326,626,48
356,594,50
337,605,58
367,568,65
369,569,62
349,584,67
354,594,52
