Player Hand,Dealer Hand,Player Ace 11,Action,Times Selected,Q Value
17,10,False,STAND,17493,-0.46006974218258734
17,10,False,HIT,146,-0.9794520547945206
18,9,False,STAND,3423,-0.20683610867659946
18,9,False,HIT,44,-0.75
16,6,False,STAND,3321,-0.16230051189400782
16,6,False,HIT,37,-0.3783783783783784
15,6,False,STAND,3889,-0.152224222165081
15,6,False,HIT,40,-0.65
20,10,False,STAND,19687,0.4250012698735206
20,10,False,HIT,200,-0.785
19,10,False,STAND,14608,-0.01581325301204819
19,10,False,HIT,141,-0.7163120567375887
18,11,False,STAND,4479,-0.39383791024782316
18,11,False,HIT,42,-0.6666666666666666
13,10,False,STAND,305,-0.6098360655737705
13,10,False,HIT,18167,-0.45153299939450653
19,5,False,STAND,2703,0.4543100258971513
19,5,False,HIT,41,-0.8536585365853658
13,8,True,STAND,1,-1.0
13,8,True,HIT,457,-0.0350109409190372
15,8,True,STAND,6,-1.0
15,8,True,HIT,547,-0.03656307129798903
14,10,False,STAND,766,-0.587467362924282
14,10,False,HIT,18081,-0.49875559980089595
16,10,False,STAND,18098,-0.5784617084760747
16,10,False,HIT,150,-0.64
14,6,False,STAND,4009,-0.1289598403591918
14,6,False,HIT,31,-0.5161290322580645
20,6,False,STAND,4647,0.6888315041962556
20,6,False,HIT,58,-0.9482758620689655
14,9,False,STAND,4007,-0.5208385325680059
14,9,False,HIT,35,-0.6857142857142857
14,4,False,STAND,3557,-0.20157436041608096
14,4,False,HIT,44,-0.3409090909090909
17,7,False,STAND,4058,-0.11434204041399704
17,7,False,HIT,40,-0.525
13,9,False,STAND,4423,-0.5462355867058557
13,9,False,HIT,47,-0.7021276595744681
17,2,False,STAND,3559,-0.16999157066591739
17,2,False,HIT,27,-0.5925925925925926
18,10,False,STAND,15091,-0.24882380226625142
18,10,False,HIT,152,-0.6907894736842105
12,6,False,STAND,132,-0.18181818181818182
12,6,False,HIT,4041,-0.1791635733729275
18,6,False,STAND,3140,0.2554140127388535
18,6,False,HIT,36,-0.4166666666666667
16,11,True,STAND,6,-0.8333333333333334
16,11,True,HIT,454,-0.4933920704845815
15,10,False,STAND,19688,-0.5619666802112963
15,10,False,HIT,156,-0.6858974358974359
12,10,False,STAND,252,-0.623015873015873
12,10,False,HIT,17372,-0.4207920792079208
13,2,False,STAND,4512,-0.2801418439716312
13,2,False,HIT,51,-0.35294117647058826
17,8,False,STAND,4641,-0.38763197586727
17,8,False,HIT,44,-0.6136363636363636
19,11,False,STAND,4315,-0.10938586326767091
19,11,False,HIT,34,-0.7647058823529411
19,8,False,STAND,4060,0.5847290640394088
19,8,False,HIT,49,-0.8979591836734694
17,6,False,STAND,3515,-0.01678520625889047
17,6,False,HIT,44,-0.5681818181818182
19,2,False,STAND,2989,0.36099029775844765
19,2,False,HIT,34,-0.6176470588235294
13,3,False,STAND,4148,-0.2531340405014465
13,3,False,HIT,43,-0.5581395348837209
19,3,False,STAND,3007,0.36980379115397405
19,3,False,HIT,35,-0.7714285714285715
15,3,False,STAND,4154,-0.24795377948964853
15,3,False,HIT,35,-0.6857142857142857
12,5,False,STAND,4280,-0.13200934579439252
12,5,False,HIT,102,-0.27450980392156865
19,9,False,STAND,2445,0.24703476482617587
19,9,False,HIT,25,-0.76
15,11,False,STAND,221,-0.751131221719457
15,11,False,HIT,4431,-0.6483863687655157
13,11,False,STAND,4508,-0.7555456965394853
13,11,False,HIT,72,-0.7638888888888888
18,10,True,STAND,3003,-0.2634032634032634
18,10,True,HIT,149,-0.2953020134228188
20,3,False,STAND,4689,0.618682021753039
20,3,False,HIT,44,-0.7954545454545454
12,7,False,STAND,38,-0.5
12,7,False,HIT,4447,-0.24668315718461883
20,4,False,STAND,4399,0.6342350534212321
20,4,False,HIT,50,-0.84
17,10,True,STAND,115,-0.5217391304347826
17,10,True,HIT,2627,-0.29196802436239055
14,8,False,STAND,49,-0.6530612244897959
14,8,False,HIT,4402,-0.36937755565651975
16,4,False,STAND,3654,-0.1836343732895457
16,4,False,HIT,38,-0.47368421052631576
20,9,False,STAND,4681,0.7355265968810083
20,9,False,HIT,56,-0.7678571428571429
20,7,False,STAND,5098,0.749509611612397
20,7,False,HIT,50,-0.92
16,3,False,STAND,3725,-0.21771812080536912
16,3,False,HIT,37,-0.6486486486486487
14,5,False,STAND,4079,-0.11939200784506006
14,5,False,HIT,36,-0.3611111111111111
20,5,False,STAND,4438,0.6721496169445697
20,5,False,HIT,55,-0.8545454545454545
13,8,False,STAND,37,-0.5945945945945946
13,8,False,HIT,4477,-0.3522448067902613
12,3,False,STAND,34,-0.4411764705882353
12,3,False,HIT,4178,-0.2144566778362853
15,4,False,STAND,3639,-0.18081890629293762
15,4,False,HIT,37,-0.5675675675675675
18,5,False,STAND,2810,0.2395017793594306
18,5,False,HIT,37,-0.6756756756756757
20,4,True,STAND,720,0.6513888888888889
20,4,True,HIT,12,0.3333333333333333
14,3,False,STAND,4174,-0.21897460469573551
14,3,False,HIT,36,-0.4166666666666667
13,7,False,STAND,56,-0.48214285714285715
13,7,False,HIT,4460,-0.32152466367713006
15,5,False,STAND,3507,-0.13572854291417166
15,5,False,HIT,46,-0.391304347826087
17,4,False,STAND,3421,-0.0926629640456007
17,4,False,HIT,41,-0.6341463414634146
20,2,False,STAND,4570,0.6341356673960613
20,2,False,HIT,69,-0.8985507246376812
15,8,False,STAND,4700,-0.5319148936170213
15,8,False,HIT,71,-0.676056338028169
18,7,False,STAND,4044,0.3805637982195846
18,7,False,HIT,48,-0.8333333333333334
18,3,True,STAND,7,-0.2857142857142857
18,3,True,HIT,636,0.07232704402515723
14,8,True,STAND,5,-0.6
14,8,True,HIT,508,-0.021653543307086614
17,3,False,STAND,3490,-0.09742120343839542
17,3,False,HIT,32,-0.78125
16,9,True,STAND,6,-0.6666666666666666
16,9,True,HIT,600,-0.265
17,5,False,STAND,3449,-0.06581617860249347
17,5,False,HIT,35,-0.5142857142857142
14,7,False,STAND,4658,-0.4776728209531988
14,7,False,HIT,49,-0.6326530612244898
13,5,False,STAND,4226,-0.12896355892096545
13,5,False,HIT,42,-0.2857142857142857
15,9,False,STAND,3810,-0.5278215223097112
15,9,False,HIT,39,-0.7948717948717948
13,6,False,STAND,4446,-0.14192532613585246
13,6,False,HIT,38,-0.42105263157894735
20,10,True,STAND,3288,0.43795620437956206
20,10,True,HIT,29,-0.20689655172413793
12,2,False,STAND,34,-0.4411764705882353
12,2,False,HIT,4060,-0.24926108374384237
18,5,True,STAND,773,0.20827943078913325
18,5,True,HIT,9,-0.2222222222222222
12,11,False,STAND,39,-0.8461538461538461
12,11,False,HIT,4520,-0.5515486725663716
12,8,False,STAND,394,-0.5152284263959391
12,8,False,HIT,4009,-0.32851085058618107
16,8,False,STAND,57,-0.6666666666666666
16,8,False,HIT,4238,-0.4624823029731005
20,8,False,STAND,5658,0.7845528455284553
20,8,False,HIT,60,-0.9
17,11,False,STAND,4696,-0.6669505962521295
17,11,False,HIT,55,-0.8
19,10,True,STAND,3141,-0.03502069404648201
19,10,True,HIT,35,-0.37142857142857144
14,2,False,STAND,4217,-0.2807683187099834
14,2,False,HIT,41,-0.4634146341463415
16,8,True,STAND,662,-0.5120845921450151
16,8,True,HIT,6,-1.0
16,11,False,STAND,86,-0.7558139534883721
16,11,False,HIT,4523,-0.6489055936325447
15,7,False,STAND,44,-0.5227272727272727
15,7,False,HIT,4430,-0.37200902934537244
16,5,False,STAND,3577,-0.11406206318143695
16,5,False,HIT,42,-0.6190476190476191
14,11,False,STAND,55,-0.6909090909090909
14,11,False,HIT,4537,-0.5882741899933877
15,5,True,STAND,8,-0.375
15,5,True,HIT,591,0.09983079526226735
19,7,False,STAND,3741,0.6145415664260893
19,7,False,HIT,38,-0.5526315789473685
12,4,False,STAND,4209,-0.18294131622713233
12,4,False,HIT,51,-0.29411764705882354
18,2,False,STAND,3454,0.08627678054429647
18,2,False,HIT,31,-0.5806451612903226
18,4,False,STAND,2819,0.15572898190847817
18,4,False,HIT,39,-0.46153846153846156
17,9,False,STAND,3639,-0.4218191810937071
17,9,False,HIT,45,-0.7111111111111111
16,2,True,STAND,9,-0.2222222222222222
16,2,True,HIT,565,-0.05132743362831858
17,7,True,STAND,13,-0.5384615384615384
17,7,True,HIT,676,0.022189349112426034
20,3,True,STAND,741,0.6437246963562753
20,3,True,HIT,17,0.35294117647058826
12,9,False,STAND,4379,-0.5357387531399863
12,9,False,HIT,51,-0.6862745098039216
18,9,True,STAND,6,-0.3333333333333333
18,9,True,HIT,836,-0.180622009569378
16,3,True,STAND,571,-0.2224168126094571
16,3,True,HIT,12,-0.4166666666666667
16,9,False,STAND,64,-0.59375
16,9,False,HIT,3545,-0.5117066290550071
19,8,True,STAND,633,0.6161137440758294
19,8,True,HIT,20,0.3
19,3,True,STAND,734,0.35149863760217986
19,3,True,HIT,9,-0.2222222222222222
16,10,True,STAND,110,-0.5818181818181818
16,10,True,HIT,2438,-0.2826086956521739
19,6,False,STAND,3164,0.46776232616940583
19,6,False,HIT,38,-0.7105263157894737
16,7,True,STAND,6,-0.3333333333333333
16,7,True,HIT,622,-0.04983922829581994
16,7,False,STAND,4491,-0.5110220440881763
16,7,False,HIT,50,-0.58
18,8,False,STAND,3659,0.06723148401202514
18,8,False,HIT,26,-0.6153846153846154
19,4,False,STAND,2745,0.414936247723133
19,4,False,HIT,35,-0.6857142857142857
16,2,False,STAND,3819,-0.2982456140350877
16,2,False,HIT,35,-0.45714285714285713
14,7,True,STAND,5,-0.6
14,7,True,HIT,509,-0.007858546168958742
20,7,True,STAND,857,0.7666277712952159
20,7,True,HIT,7,0.5714285714285714
18,3,False,STAND,3449,0.13801101768628588
18,3,False,HIT,30,-0.7333333333333333
15,6,True,STAND,544,-0.19852941176470587
15,6,True,HIT,5,-0.8
19,6,True,STAND,630,0.5015873015873016
19,6,True,HIT,8,0.125
15,2,False,STAND,4219,-0.29580469305522633
15,2,False,HIT,43,-0.4418604651162791
17,8,True,STAND,11,-0.36363636363636365
17,8,True,HIT,650,-0.052307692307692305
14,3,True,STAND,381,-0.2572178477690289
14,3,True,HIT,2,-1.0
12,8,True,STAND,187,-0.6096256684491979
12,8,True,HIT,1,-1.0
20,11,False,STAND,5747,0.17748390464590222
20,11,False,HIT,49,-0.9591836734693877
12,6,True,STAND,7,-0.14285714285714285
12,6,True,HIT,166,0.1144578313253012
17,6,True,STAND,524,-0.02099236641221374
17,6,True,HIT,5,-0.2
14,10,True,STAND,17,-0.5294117647058824
14,10,True,HIT,1978,-0.1653185035389282
13,4,False,STAND,4029,-0.1506577314470092
13,4,False,HIT,51,-0.47058823529411764
12,4,True,STAND,166,-0.13855421686746988
12,4,True,HIT,7,-0.7142857142857143
16,6,True,STAND,37,0.0
16,6,True,HIT,560,0.15
13,5,True,STAND,6,-0.3333333333333333
13,5,True,HIT,501,0.13572854291417166
18,8,True,STAND,719,0.11265646731571627
18,8,True,HIT,9,-0.2222222222222222
12,7,True,STAND,3,-0.3333333333333333
12,7,True,HIT,175,0.06857142857142857
18,7,True,STAND,9,-0.1111111111111111
18,7,True,HIT,608,0.14638157894736842
19,2,True,STAND,800,0.2975
19,2,True,HIT,5,0.0
19,7,True,STAND,798,0.6140350877192983
19,7,True,HIT,12,0.4166666666666667
17,9,True,STAND,6,-0.3333333333333333
17,9,True,HIT,670,-0.14776119402985075
14,2,True,STAND,14,-0.6428571428571429
14,2,True,HIT,511,-0.025440313111545987
20,6,True,STAND,691,0.7018813314037626
20,6,True,HIT,9,0.4444444444444444
19,5,True,STAND,804,0.49129353233830847
19,5,True,HIT,8,0.0
18,2,True,STAND,6,-0.5
18,2,True,HIT,701,0.07845934379457917
13,10,True,STAND,21,-0.9047619047619048
13,10,True,HIT,1910,-0.1837696335078534
15,10,True,STAND,23,-0.8695652173913043
15,10,True,HIT,2192,-0.229014598540146
20,8,True,STAND,811,0.7792848335388409
20,8,True,HIT,6,0.0
13,6,True,STAND,6,-0.6666666666666666
13,6,True,HIT,499,0.08016032064128256
15,11,True,STAND,7,-0.8571428571428571
15,11,True,HIT,422,-0.3791469194312796
15,7,True,STAND,7,-0.14285714285714285
15,7,True,HIT,577,-0.006932409012131715
17,3,True,STAND,610,-0.15901639344262294
17,3,True,HIT,4,-0.5
20,9,True,STAND,813,0.7478474784747847
20,9,True,HIT,15,0.06666666666666667
12,10,True,STAND,677,-0.4948301329394387
12,10,True,HIT,7,-0.5714285714285714
14,4,True,STAND,4,-0.5
14,4,True,HIT,504,0.12103174603174603
20,11,True,STAND,670,0.1328358208955224
20,11,True,HIT,2,-1.0
19,9,True,STAND,843,0.32858837485172004
19,9,True,HIT,23,0.08695652173913043
15,3,True,STAND,29,-0.10344827586206896
15,3,True,HIT,496,-0.038306451612903226
12,11,True,STAND,1,-1.0
12,11,True,HIT,86,-0.29069767441860467
18,6,True,STAND,660,0.2803030303030303
18,6,True,HIT,4,0.0
16,5,True,STAND,12,-0.5833333333333334
16,5,True,HIT,531,0.02824858757062147
13,2,True,STAND,3,-1.0
13,2,True,HIT,383,-0.02610966057441253
17,2,True,STAND,647,-0.1205564142194745
17,2,True,HIT,6,-0.6666666666666666
14,11,True,STAND,2,-1.0
14,11,True,HIT,385,-0.4
15,4,True,STAND,397,-0.04030226700251889
15,4,True,HIT,8,-0.25
19,11,True,STAND,610,-0.10655737704918032
19,11,True,HIT,5,-1.0
14,9,True,STAND,2,-0.5
14,9,True,HIT,516,-0.16279069767441862
13,7,True,STAND,511,-0.4931506849315068
13,7,True,HIT,4,-1.0
17,5,True,STAND,17,-0.23529411764705882
17,5,True,HIT,686,0.1282798833819242
16,4,True,STAND,13,-0.46153846153846156
16,4,True,HIT,613,-0.0016313213703099511
19,4,True,STAND,770,0.45064935064935063
19,4,True,HIT,6,0.0
17,11,True,STAND,14,-0.8571428571428571
17,11,True,HIT,495,-0.4727272727272727
20,2,True,STAND,782,0.5933503836317136
20,2,True,HIT,8,-0.125
13,9,True,STAND,3,-1.0
13,9,True,HIT,503,-0.1073558648111332
13,11,True,STAND,3,-1.0
13,11,True,HIT,356,-0.45224719101123595
20,5,True,STAND,837,0.6559139784946236
20,5,True,HIT,9,-0.2222222222222222
12,5,True,STAND,1,0.0
12,5,True,HIT,197,0.116751269035533
14,6,True,STAND,515,-0.05242718446601942
14,6,True,HIT,8,-0.125
14,5,True,STAND,7,-0.42857142857142855
14,5,True,HIT,510,0.11960784313725491
17,4,True,STAND,7,-0.5714285714285714
17,4,True,HIT,627,0.03987240829346093
13,3,True,STAND,4,-0.5
13,3,True,HIT,482,-0.04771784232365145
12,3,True,STAND,2,-1.0
12,3,True,HIT,180,0.06111111111111111
18,4,True,STAND,732,0.15027322404371585
18,4,True,HIT,14,-0.07142857142857142
18,11,True,STAND,7,-0.7142857142857143
18,11,True,HIT,569,-0.4007029876977153
12,9,True,STAND,2,-1.0
12,9,True,HIT,148,-0.060810810810810814
15,9,True,STAND,6,-0.3333333333333333
15,9,True,HIT,548,-0.1478102189781022
15,2,True,STAND,19,-0.21052631578947367
15,2,True,HIT,493,-0.018255578093306288
13,4,True,STAND,4,-0.5
13,4,True,HIT,468,0.08333333333333333
12,2,True,STAND,1,-1.0
12,2,True,HIT,186,-0.08064516129032258
