Player Hand,Dealer Hand,Player Ace 11,Action,Times Selected,Q Value
13,7,False,STAND,4609,-0.46539379474940334
13,7,False,HIT,1,-33.0
20,11,True,STAND,1,-6.0
20,11,True,HIT,562,-0.3291814946619217
19,11,False,STAND,3355,-0.11862891207153502
19,11,False,HIT,1,-2.0
19,2,False,STAND,1,-2.0
19,2,False,HIT,3261,-0.7482367371971788
16,10,False,STAND,1,-1.0
16,10,False,HIT,16436,-0.5804940374787053
19,3,False,STAND,1,-1.0
19,3,False,HIT,3845,-0.7115734720416125
14,3,False,STAND,1,-1.0
14,3,False,HIT,3942,-0.510654490106545
16,7,False,STAND,4044,-0.4834322453016815
16,7,False,HIT,1,-1.0
18,3,False,STAND,3741,0.09890403635391606
18,3,False,HIT,1,-1.0
13,9,False,STAND,56,-0.625
13,9,False,HIT,4363,-0.5255558102223241
12,10,False,STAND,1,-1.0
12,10,False,HIT,17325,-0.44144300144300147
18,10,False,STAND,16793,-0.24688858452926815
18,10,False,HIT,2,-1.0
17,6,False,STAND,3796,0.003161222339304531
17,6,False,HIT,2,-0.5
20,3,False,STAND,5617,0.6131386861313869
20,3,False,HIT,1,-1.0
14,5,True,STAND,493,-0.10344827586206896
14,5,True,HIT,2,-0.5
18,5,True,STAND,663,0.19909502262443438
18,5,True,HIT,1,-1.0
12,2,False,STAND,3999,-0.31007751937984496
12,2,False,HIT,1,-1.0
14,2,False,STAND,1,-1.0
14,2,False,HIT,4044,-0.5155786350148368
20,2,False,STAND,5126,0.5944206008583691
13,10,False,STAND,1,-1.0
13,10,False,HIT,18114,-0.48100916418240036
17,10,False,STAND,1,-1.0
17,10,False,HIT,17522,-0.6106038123501883
19,10,False,STAND,16188,-0.021435631331850755
19,10,False,HIT,1,-1.0
16,5,False,STAND,3607,-0.13584696423620737
16,5,False,HIT,1,-1.0
20,10,False,STAND,22337,0.3951739266687559
20,10,False,HIT,2,-0.5
17,3,False,STAND,4327,-0.09914490409059394
17,3,False,HIT,2,-0.5
16,8,True,STAND,29,-0.5172413793103449
16,8,True,HIT,535,-0.2205607476635514
16,8,False,STAND,1,-1.0
16,8,False,HIT,4591,-0.4670006534524069
16,3,False,STAND,1,-1.0
16,3,False,HIT,4006,-0.5464303544682976
15,4,False,STAND,4379,-0.17492578214204157
15,4,False,HIT,1,-1.0
14,10,False,STAND,18035,-0.5697809814250069
14,10,False,HIT,1,-1.0
13,6,False,STAND,4126,-0.14323800290838584
13,6,False,HIT,1,-1.0
20,11,False,STAND,5167,0.12154054577124057
20,11,False,HIT,1,-1.0
12,9,False,STAND,1,-1.0
12,9,False,HIT,4265,-0.4900351699882767
14,9,False,STAND,4619,-0.5195929854946958
14,9,False,HIT,1,-1.0
14,6,False,STAND,1,-1.0
14,6,False,HIT,3903,-0.32539072508326927
15,9,False,STAND,4378,-0.5356327089995432
15,9,False,HIT,1,-1.0
18,8,False,STAND,3892,0.05575539568345324
18,8,False,HIT,1,-1.0
12,7,False,STAND,5,-0.6
12,7,False,HIT,4373,-0.2798993825748914
14,7,False,STAND,4307,-0.4796842349663339
14,7,False,HIT,1,-1.0
12,11,False,STAND,1,-1.0
12,11,False,HIT,4373,-0.6091927738394695
17,11,False,STAND,3861,-0.6454286454286454
17,11,False,HIT,1,-1.0
20,6,False,STAND,4994,0.6904285142170604
20,6,False,HIT,2,-0.5
19,3,True,STAND,1,-1.0
19,3,True,HIT,666,-0.3138138138138138
12,3,False,STAND,4189,-0.26378610646932443
12,3,False,HIT,7,-0.5714285714285714
15,11,False,STAND,4211,-0.7618142958917122
15,11,False,HIT,1,-1.0
17,9,True,STAND,1,-1.0
17,9,True,HIT,626,-0.21565495207667731
19,9,True,STAND,708,0.20056497175141244
19,9,True,HIT,1,0.0
19,9,False,STAND,1,-1.0
19,9,False,HIT,3644,-0.7110318331503842
20,9,False,STAND,5841,0.7366889231296011
20,9,False,HIT,2,-0.5
13,11,False,STAND,4545,-0.7639163916391639
13,11,False,HIT,1,-1.0
13,4,False,STAND,1,-1.0
13,4,False,HIT,4134,-0.36115142718916304
19,4,False,STAND,3531,0.4010195412064571
19,4,False,HIT,1,-1.0
17,4,False,STAND,3836,-0.06386861313868614
17,4,False,HIT,1,-1.0
20,5,False,STAND,5274,0.6579446340538491
20,5,False,HIT,1,0.0
18,5,False,STAND,1,-1.0
