Player Hand,Dealer Hand,Player Ace 11,Action,Times Selected,Q Value
12,5,False,STAND,2277,-0.15019762845849802
12,5,False,HIT,2032,-0.1530511811023622
13,10,False,STAND,8021,-0.5863358683455928
13,10,False,HIT,9493,-0.47961655957020966
19,10,False,STAND,10312,-0.030546935608999223
19,10,False,HIT,5282,-0.7260507383566831
20,2,False,STAND,3352,0.5936754176610979
20,2,False,HIT,2154,-0.8430826369545033
17,8,False,STAND,2578,-0.4422032583397983
17,8,False,HIT,1695,-0.45073746312684365
13,7,False,STAND,1906,-0.4832109129066107
13,7,False,HIT,2504,-0.31629392971246006
13,5,True,STAND,242,-0.23140495867768596
13,5,True,HIT,248,0.18951612903225806
13,5,False,STAND,2283,-0.11870346035917652
13,5,False,HIT,1975,-0.2470886075949367
17,9,False,STAND,2651,-0.43719351188230854
17,9,False,HIT,1578,-0.5494296577946768
20,9,False,STAND,3574,0.7090095131505316
20,9,False,HIT,2223,-0.8385065227170491
17,4,False,STAND,2464,-0.09618506493506493
17,4,False,HIT,1601,-0.5652717051842598
20,10,False,STAND,13095,0.3463917525773196
20,10,False,HIT,7964,-0.861878453038674
19,5,False,STAND,2380,0.4096638655462185
19,5,False,HIT,1359,-0.7203826342899191
14,10,False,STAND,7721,-0.5710400207227043
14,10,False,HIT,9295,-0.5032813340505649
18,10,False,STAND,10363,-0.2637267200617582
18,10,False,HIT,5589,-0.667740203972088
17,6,False,STAND,2594,-0.040092521202775636
17,6,False,HIT,1567,-0.4709636247606892
18,6,False,STAND,2339,0.27533133817870886
18,6,False,HIT,1476,-0.6246612466124661
15,10,False,STAND,7886,-0.5678417448643165
15,10,False,HIT,9744,-0.5629105090311987
14,3,False,STAND,2276,-0.2451669595782074
14,3,False,HIT,1877,-0.33564198188598826
17,5,False,STAND,2469,-0.022681247468610773
17,5,False,HIT,1592,-0.5238693467336684
16,7,False,STAND,1665,-0.5027027027027027
16,7,False,HIT,2531,-0.40221256420387197
17,7,False,STAND,2516,-0.18521462639109698
17,7,False,HIT,1436,-0.5118384401114207
20,8,False,STAND,3584,0.7726004464285714
20,8,False,HIT,2206,-0.8313689936536718
16,10,True,STAND,1090,-0.5660550458715596
16,10,True,HIT,1285,-0.34007782101167316
12,10,False,STAND,8224,-0.578307392996109
12,10,False,HIT,9260,-0.4299136069114471
13,11,False,STAND,2060,-0.7601941747572816
13,11,False,HIT,2395,-0.6029227557411273
18,11,False,STAND,2705,-0.4587800369685767
18,11,False,HIT,1456,-0.7135989010989011
17,10,False,STAND,10552,-0.48398407884761185
17,10,False,HIT,6192,-0.604328165374677
19,2,False,STAND,2445,0.34151329243353784
19,2,False,HIT,1359,-0.7740986019131715
20,4,False,STAND,3227,0.6120235512860241
20,4,False,HIT,2184,-0.8456959706959707
