Win,Lose,Draw
0,0,0
371,574,55
397,523,80
417,509,74
396,520,84
413,517,70
410,513,77
386,532,82
395,507,98
418,501,81
377,536,87
399,525,76
390,527,83
400,526,74
373,529,98
374,548,78
402,525,73
417,491,92
411,524,65
373,552,75
405,517,78
384,531,85
398,524,78
408,513,79
401,530,69
391,524,85
379,536,85
371,545,84
370,557,73
375,529,96
385,531,84
395,519,86
393,516,91
377,550,73
381,542,77
395,520,85
406,509,85
370,535,95
392,526,82
401,505,94
408,513,79
364,547,89
396,521,83
355,563,82
390,529,81
368,553,79
383,539,78
369,546,85
399,531,70
365,554,81
354,565,81
355,568,77
374,544,82
354,561,85
377,534,89
378,557,65
375,546,79
350,567,83
362,573,65
382,552,66
368,554,78
402,518,80
397,534,69
400,529,71
404,523,73
368,545,87
383,540,77
342,592,66
348,574,78
373,556,71
334,575,91
348,581,71
359,549,92
378,551,71
383,537,80
373,537,90
369,559,72
376,535,89
356,555,89
346,563,91
402,524,74
365,553,82
369,559,72
382,534,84
363,563,74
380,530,90
377,546,77
394,523,83
388,526,86
403,520,77
377,540,83
390,511,99
379,539,82
413,499,88
392,539,69
377,538,85
392,524,84
382,548,70
414,526,60
400,525,75
367,548,85
394,545,61
372,552,76
381,535,84
401,515,84
379,546,75
400,525,75
333,567,100
392,544,64
381,551,68
410,517,73
387,537,76
368,556,76
374,555,71
379,541,80
358,567,75
363,557,80
393,537,70
379,564,57
399,530,71
350,574,76
395,522,83
378,538,84
397,518,85
367,563,70
375,543,82
394,532,74
378,549,73
379,546,75
402,529,69
371,553,76
369,551,80
414,506,80
399,522,79
368,554,78
378,554,68
386,531,83
382,541,77
386,541,73
376,544,80
377,531,92
349,576,75
386,523,91
383,541,76
386,534,80
391,535,74
383,523,94
382,539,79
379,543,78
364,564,72
388,533,79
373,556,71
357,575,68
375,546,79
368,564,68
379,550,71
366,544,90
363,563,74
349,574,77
361,554,85
393,532,75
375,546,79
379,535,86
380,540,80
387,540,73
382,539,79
361,551,88
368,539,93
366,544,90
366,568,66
364,559,77
348,573,79
388,539,73
380,555,65
378,551,71
370,565,65
366,566,68
382,549,69
399,538,63
388,530,82
376,550,74
371,551,78
376,561,63
402,529,69
379,534,87
390,536,74
363,559,78
373,553,74
424,501,75
359,584,57
351,558,91
381,547,72
388,523,89
380,553,67
375,538,87
382,531,87
405,520,75
374,543,83
399,501,100
363,551,86
365,556,79
358,553,89
404,531,65
406,517,77
380,547,73
388,532,80
392,531,77
381,540,79
389,523,88
372,550,78
351,572,77
394,521,85
378,544,78
382,528,90
371,555,74
354,575,71
390,525,85
351,570,79
356,560,84
374,554,72
367,572,61
371,550,79
364,557,79
368,563,69
344,582,74
374,547,79
409,510,81
391,530,79
377,553,70
371,568,61
371,552,77
396,535,69
372,549,79
382,552,66
382,544,74
373,550,77
380,551,69
377,555,68
372,546,82
357,550,93
367,552,81
353,551,96
356,553,91
356,549,95
363,546,91
353,558,89
367,535,98
370,544,86
378,546,76
360,553,87
382,540,78
335,588,77
369,535,96
385,541,74
319,607,74
383,545,72
375,549,76
358,559,83
356,567,77
381,557,62
367,547,86
361,557,82
381,540,79
376,542,82
388,554,58
377,530,93
389,541,70
399,521,80
391,516,93
364,545,91
373,550,77
391,526,83
360,551,89
389,535,76
367,539,94
368,542,90
386,536,78
370,536,94
370,551,79
384,543,73
371,538,91
384,529,87
377,552,71
372,551,77
379,553,68
387,541,72
375,555,70
395,535,70
385,545,70
370,560,70
359,560,81
371,559,70
353,570,77
365,556,79
373,544,83
374,531,95
368,567,65
379,530,91
364,559,77
379,538,83
368,555,77
377,527,96
341,582,77
382,551,67
368,567,65
375,533,92
395,520,85
369,552,79
405,527,68
385,537,78
368,560,72
392,525,83
400,515,85
396,533,71
355,554,91
359,546,95
375,538,87
374,537,89
370,540,90
356,555,89
384,537,79
390,524,86
370,539,91
382,528,90
387,549,64
381,545,74
377,543,80
388,522,90
394,529,77
380,548,72
365,543,92
383,539,78
385,532,83
368,551,81
388,537,75
334,578,88
371,556,73
366,555,79
365,559,76
393,523,84
382,542,76
394,529,77
396,530,74
368,544,88
397,523,80
400,534,66
383,534,83
375,539,86
369,530,101
368,558,74
385,530,85
378,540,82
357,568,75
380,540,80
361,559,80
366,560,74
396,523,81
371,548,81
400,500,100
392,532,76
400,528,72
403,511,86
355,557,88
365,552,83
380,544,76
363,540,97
386,528,86
364,556,80
402,527,71
389,529,82
365,540,95
363,558,79
383,536,81
383,546,71
375,546,79
