Win,Lose,Draw
0,0,0
341,594,65
372,556,72
414,507,79
401,497,102
413,518,69
377,536,87
403,512,85
398,511,91
414,504,82
386,542,72
411,513,76
388,527,85
377,545,78
393,527,80
407,508,85
400,524,76
390,528,82
397,520,83
412,514,74
405,494,101
426,504,70
394,526,80
410,529,61
404,514,82
392,543,65
398,517,85
413,505,82
406,507,87
406,521,73
400,511,89
431,499,70
427,502,71
397,513,90
379,530,91
396,533,71
415,503,82
405,517,78
409,510,81
407,515,78
387,531,82
400,530,70
399,521,80
401,515,84
406,507,87
383,528,89
418,492,90
411,510,79
395,525,80
410,504,86
385,538,77
408,516,76
397,525,78
393,521,86
400,523,77
409,508,83
412,499,89
382,532,86
405,512,83
403,511,86
415,516,69
433,479,88
406,513,81
387,525,88
396,517,87
386,529,85
411,509,80
397,516,87
393,518,89
414,497,89
394,520,86
386,516,98
401,523,76
402,515,83
405,507,88
418,502,80
391,530,79
398,517,85
390,529,81
403,507,90
414,502,84
396,530,74
422,500,78
403,511,86
394,522,84
415,506,79
417,513,70
405,522,73
418,498,84
416,515,69
379,535,86
392,517,91
390,530,80
407,509,84
408,510,82
428,485,87
409,511,80
416,492,92
414,502,84
413,507,80
390,518,92
376,547,77
401,510,89
420,509,71
427,492,81
408,509,83
400,512,88
397,512,91
405,516,79
419,483,98
370,533,97
404,503,93
401,504,95
405,518,77
391,518,91
391,523,86
394,519,87
392,514,94
395,528,77
403,501,96
411,504,85
410,516,74
394,519,87
409,500,91
394,530,76
430,474,96
376,539,85
423,497,80
404,517,79
413,505,82
389,526,85
411,497,92
371,535,94
390,516,94
425,501,74
376,532,92
394,528,78
423,486,91
395,511,94
364,548,88
414,523,63
404,523,73
400,516,84
411,498,91
398,529,73
409,493,98
395,535,70
403,522,75
415,501,84
385,522,93
397,505,98
396,526,78
395,520,85
394,510,96
423,478,99
375,540,85
405,520,75
391,522,87
407,516,77
396,543,61
374,557,69
392,518,90
376,542,82
382,517,101
412,500,88
423,489,88
406,514,80
392,518,90
406,515,79
416,519,65
384,525,91
421,503,76
413,515,72
425,481,94
401,518,81
417,506,77
406,520,74
396,510,94
387,523,90
402,519,79
385,535,80
395,529,76
425,481,94
405,503,92
371,545,84
415,511,74
401,524,75
384,534,82
427,488,85
407,507,86
395,528,77
421,491,88
399,511,90
383,528,89
420,490,90
409,511,80
408,502,90
428,478,94
399,537,64
412,490,98
377,543,80
413,506,81
411,515,74
409,509,82
404,508,88
402,505,93
396,526,78
429,490,81
389,512,99
404,502,94
407,499,94
418,519,63
388,521,91
385,521,94
385,529,86
412,502,86
410,524,66
391,524,85
398,522,80
406,508,86
399,513,88
399,520,81
406,506,88
401,527,72
406,525,69
391,528,81
396,518,86
428,484,88
371,529,100
432,487,81
417,489,94
423,487,90
383,521,96
423,494,83
383,523,94
398,535,67
423,490,87
416,483,101
413,509,78
435,497,68
395,535,70
423,491,86
378,542,80
420,509,71
428,485,87
433,492,75
428,503,69
406,506,88
392,524,84
399,518,83
431,484,85
393,516,91
427,501,72
392,519,89
375,552,73
399,517,84
404,530,66
390,531,79
423,496,81
393,524,83
417,504,79
411,496,93
418,509,73
428,501,71
452,467,81
413,503,84
396,519,85
433,492,75
423,503,74
404,513,83
410,499,91
413,513,74
385,511,104
411,504,85
376,544,80
407,509,84
409,502,89
391,526,83
396,508,96
413,510,77
387,532,81
404,508,88
375,539,86
385,524,91
410,515,75
408,516,76
405,509,86
398,521,81
410,512,78
400,530,70
395,520,85
416,497,87
431,492,77
409,509,82
422,508,70
411,498,91
429,474,97
389,522,89
412,509,79
433,487,80
396,522,82
422,500,78
419,510,71
381,547,72
416,510,74
402,510,88
413,500,87
373,543,84
388,525,87
398,509,93
437,489,74
388,531,81
416,507,77
404,522,74
404,511,85
412,497,91
404,496,100
392,530,78
409,501,90
392,514,94
421,506,73
398,522,80
391,512,97
399,526,75
390,513,97
405,510,85
450,478,72
416,502,82
398,518,84
421,486,93
376,537,87
410,511,79
423,485,92
427,490,83
416,512,72
420,479,101
414,507,79
395,517,88
416,506,78
424,481,95
401,497,102
398,507,95
389,524,87
418,511,71
422,494,84
422,507,71
430,499,71
391,525,84
404,511,85
410,504,86
393,528,79
405,520,75
402,532,66
430,492,78
395,531,74
401,522,77
392,519,89
392,526,82
398,509,93
389,527,84
406,507,87
408,514,78
392,512,96
396,521,83
413,500,87
425,483,92
411,503,86
445,480,75
408,524,68
403,514,83
435,489,76
400,512,88
388,523,89
403,512,85
415,504,81
392,527,81
415,504,81
423,486,91
437,482,81
384,526,90
422,495,83
410,518,72
412,496,92
416,488,96
388,537,75
416,488,96
400,520,80
407,511,82
415,500,85
432,478,90
410,517,73
408,511,81
407,515,78
424,479,97
381,532,87
434,492,74
403,522,75
408,509,83
398,511,91
404,512,84
388,540,72
432,479,89
405,524,71
398,517,85
391,541,68
394,518,88
403,520,77
411,502,87
415,494,91
380,552,68
422,497,81
419,492,89
435,488,77
388,523,89
421,502,77
406,523,71
395,520,85
381,528,91
412,502,86
391,522,87
377,535,88
401,526,73
415,523,62
418,505,77
410,509,81
385,536,79
385,538,77
416,497,87
381,528,91
386,515,99
377,532,91
417,511,72
371,550,79
374,544,82
406,517,77
398,507,95
418,508,74
390,526,84
406,515,79
391,529,80
417,497,86
430,486,84
421,497,82
404,516,80
413,514,73
418,505,77
427,487,86
395,535,70
417,486,97
417,504,79
370,550,80
435,492,73
393,511,96
434,474,92
378,538,84
392,532,76
391,523,86
424,489,87
406,540,54
393,519,88
397,517,86
410,496,94
404,496,100
404,511,85
410,528,62
399,518,83
414,508,78
385,528,87
435,503,62
409,504,87
408,516,76
411,493,96
432,493,75
408,501,91
403,522,75
405,519,76
395,509,96
420,495,85
382,540,78
411,506,83
408,517,75
397,530,73
397,497,106
375,539,86
413,505,82
406,505,89
380,540,80
399,513,88
399,514,87
411,515,74
416,496,88
412,517,71
427,493,80
405,504,91
379,548,73
412,511,77
412,494,94
391,533,76
402,523,75
387,528,85
