Win,Lose,Draw
0,0,0
355,586,59
402,510,88
398,533,69
413,513,74
386,540,74
405,527,68
351,559,90
379,541,80
426,499,75
389,532,79
394,530,76
392,535,73
404,518,78
393,535,72
378,534,88
407,532,61
384,536,80
390,530,80
378,555,67
382,536,82
408,500,92
399,523,78
396,530,74
392,541,67
392,524,84
369,553,78
359,568,73
383,546,71
404,529,67
367,562,71
389,530,81
380,544,76
392,523,85
396,527,77
406,519,75
398,537,65
385,535,80
401,526,73
418,510,72
403,518,79
416,510,74
382,553,65
406,523,71
382,542,76
383,542,75
434,487,79
382,536,82
381,540,79
398,521,81
403,533,64
399,521,80
389,544,67
391,528,81
408,507,85
395,531,74
412,524,64
407,520,73
398,518,84
410,515,75
383,531,86
408,520,72
386,539,75
409,539,52
417,494,89
377,558,65
384,528,88
376,529,95
388,521,91
379,537,84
392,520,88
404,541,55
385,534,81
384,547,69
419,497,84
398,529,73
410,515,75
392,534,74
381,544,75
367,555,78
394,517,89
406,514,80
401,512,87
411,522,67
381,535,84
383,543,74
402,535,63
396,534,70
388,530,82
404,523,73
399,521,80
400,511,89
397,520,83
382,548,70
391,539,70
375,541,84
393,528,79
408,519,73
394,533,73
366,534,100
380,545,75
404,519,77
398,521,81
397,528,75
397,515,88
374,544,82
401,524,75
395,526,79
420,512,68
413,515,72
377,561,62
373,559,68
369,558,73
380,551,69
395,529,76
395,533,72
368,558,74
403,531,66
388,547,65
398,531,71
415,500,85
378,548,74
405,520,75
383,535,82
391,538,71
385,548,67
378,546,76
450,486,64
401,511,88
387,545,68
386,526,88
384,532,84
375,561,64
385,544,71
389,530,81
364,557,79
422,509,69
400,540,60
376,547,77
378,541,81
381,542,77
398,531,71
410,502,88
395,523,82
383,543,74
377,552,71
382,526,92
373,553,74
395,526,79
414,493,93
388,530,82
399,522,79
392,529,79
402,517,81
406,519,75
365,564,71
398,531,71
396,524,80
396,535,69
350,563,87
384,514,102
386,524,90
392,546,62
405,509,86
387,547,66
420,497,83
413,519,68
393,531,76
387,535,78
379,555,66
390,529,81
397,522,81
405,525,70
402,526,72
372,566,62
422,499,79
407,516,77
362,556,82
419,515,66
410,510,80
382,533,85
418,515,67
433,504,63
433,495,72
398,538,64
385,538,77
400,519,81
399,530,71
392,534,74
390,525,85
378,553,69
378,542,80
401,516,83
379,549,72
417,500,83
395,543,62
384,544,72
382,538,80
360,567,73
397,530,73
412,520,68
406,520,74
393,541,66
379,552,69
381,551,68
407,525,68
391,547,62
381,538,81
371,557,72
408,508,84
383,543,74
404,508,88
413,516,71
377,549,74
362,567,71
381,538,81
384,545,71
385,545,70
395,527,78
384,531,85
386,547,67
392,533,75
383,537,80
395,525,80
391,532,77
364,565,71
427,512,61
383,535,82
412,506,82
383,562,55
374,537,89
366,543,91
389,537,74
396,517,87
399,524,77
384,541,75
382,543,75
365,555,80
399,531,70
400,538,62
396,530,74
411,520,69
394,543,63
393,549,58
385,553,62
421,515,64
395,533,72
372,562,66
386,532,82
381,542,77
392,525,83
390,548,62
384,554,62
382,546,72
404,518,78
387,514,99
399,523,78
412,518,70
379,556,65
388,535,77
388,538,74
400,531,69
362,568,70
374,557,69
381,540,79
402,536,62
367,547,86
403,515,82
373,555,72
389,543,68
353,555,92
393,535,72
378,537,85
393,549,58
399,528,73
392,533,75
385,530,85
405,522,73
354,573,73
411,522,67
401,524,75
370,554,76
409,527,64
383,539,78
410,512,78
403,527,70
388,545,67
379,540,81
401,524,75
407,526,67
383,534,83
399,518,83
384,547,69
401,538,61
354,558,88
407,527,66
358,567,75
419,505,76
400,525,75
406,523,71
372,554,74
410,527,63
379,557,64
412,516,72
390,537,73
385,539,76
426,506,68
376,562,62
391,525,84
390,535,75
381,541,78
384,546,70
412,508,80
383,540,77
379,538,83
395,528,77
401,528,71
353,555,92
382,538,80
358,559,83
395,522,83
373,551,76
390,520,90
381,549,70
403,528,69
388,529,83
384,521,95
415,513,72
378,540,82
398,523,79
396,539,65
399,524,77
369,556,75
386,553,61
388,539,73
380,561,59
377,541,82
388,545,67
396,519,85
406,510,84
394,523,83
369,559,72
393,526,81
373,568,59
372,549,79
364,561,75
398,523,79
387,544,69
381,554,65
412,517,71
369,551,80
375,558,67
402,534,64
395,540,65
413,522,65
387,541,72
376,551,73
374,549,77
401,514,85
397,533,70
399,520,81
384,530,86
391,549,60
389,536,75
406,512,82
368,557,75
417,519,64
409,519,72
409,520,71
396,529,75
387,550,63
404,530,66
391,527,82
387,539,74
392,524,84
394,532,74
379,550,71
382,544,74
391,533,76
393,523,84
384,549,67
401,532,67
375,547,78
377,546,77
381,543,76
395,533,72
393,538,69
401,536,63
393,541,66
384,543,73
381,538,81
388,530,82
401,520,79
409,523,68
376,557,67
404,526,70
386,536,78
385,539,76
401,538,61
406,528,66
408,504,88
406,519,75
359,556,85
393,540,67
372,539,89
381,542,77
390,535,75
396,532,72
373,537,90
416,507,77
387,541,72
393,518,89
400,528,72
353,567,80
381,544,75
383,548,69
391,531,78
392,535,73
391,533,76
400,517,83
386,541,73
398,532,70
387,547,66
385,545,70
375,546,79
382,560,58
378,551,71
408,521,71
382,543,75
407,521,72
381,558,61
390,523,87
388,538,74
379,544,77
390,539,71
373,546,81
392,540,68
384,548,68
377,547,76
380,536,84
383,549,68
397,549,54
389,526,85
391,539,70
389,531,80
410,503,87
393,524,83
414,511,75
381,541,78
385,541,74
376,549,75
397,529,74
397,535,68
394,547,59
384,549,67
393,545,62
389,533,78
398,526,76
406,521,73
397,524,79
394,525,81
406,521,73
376,554,70
391,539,70
408,517,75
393,540,67
406,517,77
388,536,76
372,554,74
395,535,70
397,531,72
389,536,75
382,535,83
408,523,69
405,526,69
369,561,70
384,545,71
385,540,75
399,529,72
365,556,79
377,541,82
385,533,82
379,552,69
393,536,71
373,550,77
