Win,Lose,Draw
0,0,0
321,636,43
321,633,46
316,628,56
305,642,53
292,656,52
343,608,49
324,640,36
347,606,47
319,633,48
337,611,52
336,620,44
321,623,56
320,629,51
342,596,62
312,631,57
325,621,54
350,595,55
323,614,63
333,606,61
293,661,46
330,616,54
341,607,52
319,633,48
347,610,43
329,617,54
359,600,41
335,616,49
331,613,56
312,635,53
318,619,63
317,625,58
332,620,48
355,589,56
354,582,64
323,622,55
321,626,53
271,681,48
319,631,50
278,661,61
321,617,62
342,595,63
356,594,50
326,639,35
340,616,44
332,610,58
316,623,61
320,628,52
314,633,53
313,634,53
314,638,48
343,601,56
311,632,57
318,630,52
319,639,42
333,612,55
318,630,52
324,624,52
349,596,55
325,604,71
307,634,59
313,633,54
324,611,65
337,620,43
341,620,39
326,622,52
344,599,57
328,615,57
311,622,67
305,651,44
358,590,52
350,597,53
325,613,62
325,618,57
333,617,50
301,637,62
351,596,53
320,619,61
322,618,60
309,635,56
319,635,46
323,631,46
335,609,56
345,601,54
314,627,59
310,631,59
318,627,55
343,614,43
339,601,60
331,613,56
351,596,53
326,627,47
332,609,59
307,629,64
313,632,55
314,630,56
286,671,43
324,629,47
327,616,57
286,655,59
300,636,64
312,627,61
308,614,78
335,612,53
332,615,53
338,606,56
359,585,56
338,602,60
330,612,58
320,621,59
321,626,53
325,620,55
344,606,50
329,619,52
343,607,50
327,617,56
300,640,60
314,640,46
308,640,52
331,617,52
313,634,53
335,616,49
317,627,56
307,647,46
330,598,72
343,602,55
329,622,49
346,599,55
302,645,53
301,645,54
316,625,59
332,611,57
332,616,52
328,629,43
305,641,54
318,623,59
339,621,40
313,633,54
324,631,45
305,633,62
306,633,61
318,627,55
322,628,50
327,629,44
328,619,53
317,624,59
320,632,48
325,607,68
315,627,58
310,625,65
325,618,57
290,654,56
326,623,51
305,636,59
308,638,54
344,601,55
296,662,42
339,608,53
335,605,60
330,627,43
299,659,42
324,626,50
332,608,60
317,635,48
320,629,51
337,603,60
337,614,49
337,624,39
347,595,58
334,601,65
319,625,56
312,644,44
319,628,53
332,621,47
323,633,44
341,604,55
361,586,53
313,631,56
322,631,47
318,634,48
315,635,50
312,631,57
336,620,44
316,628,56
360,584,56
324,626,50
325,629,46
320,618,62
322,616,62
315,640,45
334,624,42
304,649,47
331,611,58
313,639,48
325,619,56
314,617,69
314,650,36
316,647,37
317,645,38
331,613,56
337,613,50
327,614,59
328,628,44
334,614,52
306,643,51
297,652,51
317,629,54
280,657,63
315,629,56
315,642,43
323,626,51
310,631,59
319,621,60
298,644,58
316,622,62
325,634,41
327,630,43
303,655,42
343,609,48
328,608,64
331,611,58
309,637,54
335,619,46
329,629,42
335,614,51
315,629,56
301,643,56
313,631,56
309,640,51
327,622,51
305,633,62
321,631,48
316,639,45
329,619,52
311,636,53
333,623,44
321,626,53
342,599,59
327,611,62
312,637,51
291,644,65
297,649,54
322,630,48
343,606,51
327,619,54
333,619,48
345,597,58
331,613,56
312,628,60
302,638,60
321,628,51
350,604,46
335,606,59
281,661,58
355,592,53
324,626,50
336,617,47
334,619,47
338,602,60
313,641,46
316,627,57
302,631,67
338,605,57
318,626,56
320,624,56
335,611,54
321,626,53
333,609,58
327,625,48
332,611,57
322,617,61
307,631,62
315,629,56
319,631,50
317,628,55
328,610,62
297,641,62
308,641,51
314,633,53
308,639,53
379,583,38
310,641,49
312,634,54
324,615,61
313,630,57
324,613,63
332,607,61
337,614,49
330,624,46
301,646,53
308,643,49
296,652,52
320,623,57
345,599,56
349,584,67
296,654,50
303,641,56
325,628,47
330,617,53
334,616,50
321,628,51
310,641,49
326,625,49
304,644,52
342,604,54
323,635,42
357,594,49
307,646,47
320,629,51
290,663,47
343,614,43
340,606,54
308,639,53
327,618,55
345,594,61
285,647,68
301,641,58
334,617,49
377,573,50
329,610,61
317,628,55
301,643,56
332,626,42
323,629,48
352,602,46
354,598,48
317,636,47
334,611,55
334,609,57
347,600,53
344,613,43
311,629,60
322,632,46
318,636,46
330,608,62
306,656,38
329,625,46
305,638,57
320,637,43
319,625,56
316,634,50
335,610,55
334,610,56
334,611,55
323,631,46
327,614,59
354,602,44
316,620,64
346,614,40
334,616,50
300,658,42
353,589,58
318,640,42
328,621,51
321,637,42
311,632,57
326,618,56
310,634,56
345,609,46
317,621,62
301,644,55
336,623,41
359,595,46
306,650,44
331,606,63
343,608,49
336,616,48
331,622,47
309,642,49
360,592,48
287,648,65
342,606,52
326,628,46
333,615,52
335,617,48
332,624,44
311,634,55
307,637,56
338,599,63
292,648,60
310,624,66
309,620,71
344,610,46
317,634,49
293,657,50
324,630,46
323,623,54
341,611,48
300,649,51
317,632,51
316,634,50
291,641,68
342,603,55
337,612,51
339,599,62
320,633,47
322,623,55
371,573,56
319,623,58
321,635,44
315,641,44
328,637,35
333,622,45
312,648,40
314,633,53
309,629,62
315,636,49
311,632,57
312,628,60
326,628,46
310,642,48
344,593,63
325,626,49
316,637,47
329,617,54
317,629,54
319,630,51
333,609,58
322,629,49
317,637,46
300,643,57
330,609,61
305,639,56
313,631,56
321,629,50
326,610,64
316,624,60
339,613,48
324,618,58
315,627,58
313,632,55
323,623,54
340,613,47
335,622,43
317,627,56
367,572,61
326,610,64
319,630,51
321,623,56
311,631,58
327,617,56
318,637,45
322,629,49
350,600,50
317,637,46
343,614,43
333,623,44
301,634,65
319,628,53
348,613,39
325,619,56
293,646,61
355,590,55
349,605,46
333,608,59
327,615,58
337,610,53
323,625,52
307,650,43
314,624,62
335,620,45
324,628,48
314,636,50
334,614,52
332,623,45
326,615,59
343,614,43
323,619,58
329,616,55
349,596,55
314,632,54
318,618,64
308,627,65
356,595,49
320,634,46
294,647,59
311,640,49
298,649,53
314,643,43
328,617,55
334,611,55
319,619,62
348,595,57
334,619,47
310,628,62
350,604,46
350,602,48
346,608,46
329,631,40
306,647,47
330,610,60
327,621,52
339,618,43
359,603,38
319,634,47
344,603,53
332,624,44
329,631,40
317,633,50
309,643,48
