Player Hand,Dealer Hand,Player Ace 11,Action,Times Selected,Q Value
18,10,True,STAND,1421,-0.26952850105559467
18,10,True,HIT,1383,-0.4389009399855387
13,10,False,STAND,8692,-0.5776576161988035
13,10,False,HIT,8842,-0.585953404207193
13,9,False,STAND,2250,-0.5453333333333333
13,9,False,HIT,2147,-0.5374941779226828
13,3,True,STAND,278,-0.20863309352517986
13,3,True,HIT,213,-0.11737089201877934
19,5,False,STAND,1945,0.4210796915167095
19,5,False,HIT,1978,-0.7770475227502528
13,6,False,STAND,2224,-0.13848920863309352
13,6,False,HIT,2171,-0.46153846153846156
20,6,False,STAND,2832,0.6800847457627118
20,6,False,HIT,2816,-0.8405539772727273
17,2,False,STAND,2075,-0.18506024096385543
17,2,False,HIT,2137,-0.673373888628919
15,3,False,STAND,2079,-0.20586820586820587
15,3,False,HIT,2062,-0.6314258001939864
19,3,False,STAND,1873,0.35451147891083823
19,3,False,HIT,1970,-0.8081218274111676
12,3,False,STAND,2092,-0.25334608030592737
12,3,False,HIT,2163,-0.44660194174757284
20,3,False,STAND,2966,0.5802427511800404
20,3,False,HIT,2874,-0.8434237995824635
18,10,False,STAND,8005,-0.25771392879450344
18,10,False,HIT,7981,-0.7572985841373262
13,5,False,STAND,2169,-0.11526048870447211
13,5,False,HIT,2189,-0.49657377798081315
16,5,False,STAND,2039,-0.14713094654242276
16,5,False,HIT,2063,-0.6606883179835191
20,4,False,STAND,2772,0.6204906204906205
20,4,False,HIT,2877,-0.8578380257212374
20,8,False,STAND,2922,0.758384668035592
20,8,False,HIT,2795,-0.8350626118067979
15,11,False,STAND,2126,-0.761994355597366
15,11,False,HIT,2231,-0.7539220080681309
14,6,False,STAND,2121,-0.10938236680810938
14,6,False,HIT,2078,-0.5572666025024061
20,9,False,STAND,2893,0.699965433805738
20,9,False,HIT,2890,-0.842560553633218
16,3,False,STAND,2073,-0.2542209358417752
16,3,False,HIT,2018,-0.6595639246778989
15,4,True,STAND,213,-0.13615023474178403
15,4,True,HIT,194,-0.15979381443298968
13,4,False,STAND,2141,-0.17842129845866417
13,4,False,HIT,2121,-0.47854785478547857
12,10,False,STAND,8789,-0.5685515985891455
12,10,False,HIT,8706,-0.5719044337238686
17,11,False,STAND,2032,-0.6742125984251969
17,11,False,HIT,2108,-0.7528462998102466
15,4,False,STAND,2143,-0.22445170321978536
15,4,False,HIT,2160,-0.6125
17,4,False,STAND,2106,-0.10446343779677113
17,4,False,HIT,2147,-0.6995808104331626
15,9,False,STAND,2178,-0.578971533516988
15,9,False,HIT,2178,-0.5987144168962351
14,11,False,STAND,2108,-0.7575901328273245
14,11,False,HIT,2122,-0.7285579641847314
13,10,True,STAND,961,-0.5411030176899063
13,10,True,HIT,961,-0.31321540062434966
19,10,False,STAND,7894,-0.031922979478084625
19,10,False,HIT,7834,-0.8058463109522593
14,9,False,STAND,2101,-0.5540218943360304
14,9,False,HIT,2051,-0.6031204290589957
13,8,False,STAND,2170,-0.5165898617511521
13,8,False,HIT,2162,-0.5578168362627197
15,6,False,STAND,2103,-0.19115549215406563
15,6,False,HIT,2156,-0.6103896103896104
16,7,False,STAND,2147,-0.43735444806707036
16,7,False,HIT,2007,-0.6228201295465869
20,10,False,STAND,10662,0.3338960795347965
20,10,False,HIT,10824,-0.8470990391722099
12,6,False,STAND,2265,-0.16688741721854305
12,6,False,HIT,2206,-0.4215775158658205
18,7,False,STAND,2096,0.34064885496183206
18,7,False,HIT,2068,-0.7258220502901354
16,10,False,STAND,8436,-0.5809625414888573
16,10,False,HIT,8376,-0.6800382043935053
14,3,False,STAND,2168,-0.21494464944649447
14,3,False,HIT,2168,-0.558579335793358
17,5,False,STAND,2073,-0.03328509406657019
17,5,False,HIT,2193,-0.6830825353397173
18,5,False,STAND,1954,0.1473899692937564
18,5,False,HIT,1949,-0.7060030785017958
12,7,False,STAND,2129,-0.47956787224048847
12,7,False,HIT,2154,-0.46935933147632314
15,7,False,STAND,2177,-0.44005512172714745
15,7,False,HIT,2134,-0.563261480787254
16,8,False,STAND,2066,-0.5198451113262342
16,8,False,HIT,2103,-0.5943889681407513
18,8,False,STAND,1801,-0.07440310938367574
18,8,False,HIT,1794,-0.6833890746934225
13,2,False,STAND,2193,-0.27906976744186046
13,2,False,HIT,2234,-0.4995523724261415
19,2,False,STAND,1985,0.3662468513853904
19,2,False,HIT,1945,-0.8185089974293059
20,7,False,STAND,2879,0.7318513372698854
20,7,False,HIT,2892,-0.8634163208852006
19,4,False,STAND,2063,0.35191468734852155
19,4,False,HIT,1941,-0.7877382792375064
13,3,False,STAND,1942,-0.2059732234809475
13,3,False,HIT,1935,-0.5074935400516796
19,4,True,STAND,354,0.3757062146892655
19,4,True,HIT,325,-0.13230769230769232
15,10,False,STAND,8608,-0.5850371747211895
15,10,False,HIT,8601,-0.6601557958376932
15,8,False,STAND,2176,-0.5436580882352942
15,8,False,HIT,2104,-0.6083650190114068
18,11,False,STAND,2083,-0.4368698991838694
18,11,False,HIT,2013,-0.8032786885245902
15,6,True,STAND,284,-0.10211267605633803
15,6,True,HIT,290,-0.1310344827586207
14,7,False,STAND,2166,-0.4602954755309326
14,7,False,HIT,2197,-0.5721438324988621
20,4,True,STAND,396,0.6641414141414141
20,4,True,HIT,380,-0.18947368421052632
17,2,True,STAND,322,-0.12732919254658384
17,2,True,HIT,310,-0.25806451612903225
17,5,True,STAND,321,0.01557632398753894
17,5,True,HIT,279,-0.15053763440860216
16,4,False,STAND,2100,-0.2019047619047619
16,4,False,HIT,2075,-0.6168674698795181
18,4,False,STAND,2047,0.14997557401074743
18,4,False,HIT,2003,-0.7029455816275587
12,2,False,STAND,1971,-0.2785388127853881
12,2,False,HIT,1920,-0.48802083333333335
20,2,False,STAND,2821,0.609358383551932
20,2,False,HIT,2820,-0.847872340425532
13,7,False,STAND,2139,-0.45488546049555867
13,7,False,HIT,2119,-0.4785276073619632
14,10,False,STAND,8461,-0.5731001063704054
14,10,False,HIT,8606,-0.6252614455031373
14,3,True,STAND,200,-0.185
14,3,True,HIT,186,-0.15053763440860216
18,2,False,STAND,1995,0.06015037593984962
18,2,False,HIT,2036,-0.74950884086444
19,7,False,STAND,1959,0.6049004594180705
19,7,False,HIT,2044,-0.8106653620352251
14,8,False,STAND,2152,-0.5190520446096655
14,8,False,HIT,2075,-0.5566265060240964
12,5,False,STAND,2200,-0.13545454545454547
12,5,False,HIT,2135,-0.4262295081967213
12,4,True,STAND,90,-0.12222222222222222
12,4,True,HIT,94,0.0
17,10,False,STAND,8410,-0.5016646848989298
17,10,False,HIT,8228,-0.7170636849781235
17,7,True,STAND,304,-0.2532894736842105
17,7,True,HIT,319,-0.15987460815047022
17,3,False,STAND,2150,-0.17534883720930233
17,3,False,HIT,2095,-0.6687350835322196
20,11,False,STAND,2946,0.11880515953835709
20,11,False,HIT,2856,-0.913515406162465
16,11,False,STAND,2149,-0.7617496510004653
16,11,False,HIT,2056,-0.7650778210116731
19,8,False,STAND,1959,0.5364982133741705
19,8,False,HIT,1937,-0.7919463087248322
16,2,False,STAND,2080,-0.30240384615384613
16,2,False,HIT,2052,-0.6393762183235867
12,9,False,STAND,2148,-0.5181564245810056
12,9,False,HIT,2148,-0.5130353817504656
19,11,False,STAND,2057,-0.13466212931453572
19,11,False,HIT,2057,-0.8497812348079727
18,3,False,STAND,1983,0.09732728189611699
18,3,False,HIT,2004,-0.7919161676646707
12,8,False,STAND,2182,-0.5160403299725023
12,8,False,HIT,2159,-0.49745252431681336
20,3,True,STAND,368,0.6141304347826086
20,3,True,HIT,396,-0.2196969696969697
18,6,False,STAND,1955,0.24757033248081842
18,6,False,HIT,2048,-0.7255859375
15,9,True,STAND,268,-0.48507462686567165
15,9,True,HIT,262,-0.37786259541984735
15,2,False,STAND,2153,-0.30236878773803993
15,2,False,HIT,2152,-0.6147769516728625
17,11,True,STAND,239,-0.6861924686192469
17,11,True,HIT,214,-0.5700934579439252
19,9,False,STAND,1869,0.18566078116639914
19,9,False,HIT,1742,-0.7675086107921929
20,5,False,STAND,2869,0.622168002788428
20,5,False,HIT,2865,-0.8635253054101222
17,6,False,STAND,2101,-0.015230842455973346
17,6,False,HIT,2036,-0.6777996070726916
12,11,False,STAND,2148,-0.7644320297951583
12,11,False,HIT,2222,-0.6746174617461747
18,9,False,STAND,2008,-0.19223107569721115
18,9,False,HIT,1979,-0.7145022738756948
17,9,False,STAND,2052,-0.48391812865497075
17,9,False,HIT,2044,-0.684931506849315
14,10,True,STAND,986,-0.5628803245436106
14,10,True,HIT,957,-0.322884012539185
16,9,True,STAND,284,-0.5246478873239436
16,9,True,HIT,295,-0.3423728813559322
19,10,True,STAND,1421,-0.07952146375791697
19,10,True,HIT,1451,-0.35837353549276363
12,4,False,STAND,2063,-0.19873969946679593
12,4,False,HIT,2189,-0.45089081772498857
16,9,False,STAND,2034,-0.5540806293018682
16,9,False,HIT,2082,-0.6532180595581172
16,7,True,STAND,289,-0.4186851211072664
16,7,True,HIT,316,-0.2120253164556962
20,7,True,STAND,381,0.7375328083989501
20,7,True,HIT,396,-0.1691919191919192
14,4,False,STAND,1875,-0.1872
14,4,False,HIT,1892,-0.5502114164904862
15,10,True,STAND,1028,-0.561284046692607
15,10,True,HIT,1071,-0.4061624649859944
17,10,True,STAND,1288,-0.5170807453416149
17,10,True,HIT,1263,-0.40221694378463974
20,10,True,STAND,1518,0.391304347826087
20,10,True,HIT,1609,-0.3642013673088875
16,6,False,STAND,1860,-0.17688172043010753
16,6,False,HIT,1814,-0.5788313120176406
18,9,True,STAND,354,-0.11016949152542373
18,9,True,HIT,331,-0.32326283987915405
19,3,True,STAND,319,0.3949843260188088
19,3,True,HIT,361,-0.2299168975069252
13,4,True,STAND,228,-0.15789473684210525
13,4,True,HIT,237,0.02531645569620253
14,6,True,STAND,267,-0.08614232209737828
14,6,True,HIT,237,0.0
15,8,True,STAND,278,-0.4676258992805755
15,8,True,HIT,268,-0.376865671641791
16,2,True,STAND,285,-0.24561403508771928
16,2,True,HIT,299,-0.2842809364548495
15,5,True,STAND,256,-0.0546875
15,5,True,HIT,265,-0.03773584905660377
19,6,False,STAND,2036,0.4724950884086444
19,6,False,HIT,2016,-0.7911706349206349
20,5,True,STAND,376,0.6329787234042553
20,5,True,HIT,361,-0.21052631578947367
15,5,False,STAND,1957,-0.15176290240163515
15,5,False,HIT,1950,-0.5728205128205128
17,8,False,STAND,2103,-0.4536376604850214
17,8,False,HIT,2004,-0.6327345309381237
14,5,False,STAND,2078,-0.11308950914340712
14,5,False,HIT,2176,-0.5661764705882353
13,11,False,STAND,2222,-0.7560756075607561
13,11,False,HIT,2175,-0.6611494252873563
14,2,False,STAND,2149,-0.32247557003257327
14,2,False,HIT,2087,-0.5586966938188788
18,6,True,STAND,341,0.3313782991202346
18,6,True,HIT,310,-0.12580645161290321
17,7,False,STAND,1892,-0.2040169133192389
17,7,False,HIT,1918,-0.6397288842544318
19,2,True,STAND,315,0.35555555555555557
19,2,True,HIT,365,-0.3095890410958904
16,10,True,STAND,1142,-0.5656742556917689
16,10,True,HIT,1146,-0.3900523560209424
16,8,True,STAND,307,-0.48534201954397393
16,8,True,HIT,295,-0.4067796610169492
13,7,True,STAND,221,-0.45701357466063347
13,7,True,HIT,221,-0.08144796380090498
13,8,True,STAND,253,-0.4743083003952569
13,8,True,HIT,264,-0.2727272727272727
16,11,True,STAND,204,-0.7696078431372549
16,11,True,HIT,214,-0.6261682242990654
17,6,True,STAND,248,-0.05241935483870968
17,6,True,HIT,239,-0.06276150627615062
15,2,True,STAND,261,-0.3486590038314176
15,2,True,HIT,231,-0.1471861471861472
18,5,True,STAND,330,0.24545454545454545
18,5,True,HIT,308,-0.05844155844155844
12,7,True,STAND,90,-0.3333333333333333
12,7,True,HIT,93,-0.21505376344086022
14,5,True,STAND,257,0.023346303501945526
14,5,True,HIT,262,-0.030534351145038167
12,10,True,STAND,375,-0.5573333333333333
12,10,True,HIT,375,-0.24
14,4,True,STAND,256,-0.13671875
14,4,True,HIT,276,0.021739130434782608
17,3,True,STAND,306,-0.17320261437908496
17,3,True,HIT,303,-0.29372937293729373
20,9,True,STAND,325,0.7323076923076923
20,9,True,HIT,314,-0.27388535031847133
14,9,True,STAND,263,-0.5133079847908745
14,9,True,HIT,234,-0.3034188034188034
19,7,True,STAND,364,0.7005494505494505
19,7,True,HIT,346,-0.2023121387283237
20,2,True,STAND,391,0.6445012787723785
20,2,True,HIT,359,-0.21448467966573817
12,5,True,STAND,105,0.009523809523809525
12,5,True,HIT,103,-0.07766990291262135
19,5,True,STAND,359,0.5097493036211699
19,5,True,HIT,336,-0.2648809523809524
19,11,True,STAND,260,-0.10384615384615385
19,11,True,HIT,239,-0.5815899581589958
18,8,True,STAND,344,-0.023255813953488372
18,8,True,HIT,355,-0.24788732394366197
20,8,True,STAND,401,0.7830423940149626
20,8,True,HIT,393,-0.272264631043257
12,3,True,STAND,104,-0.2980769230769231
12,3,True,HIT,110,-0.10909090909090909
18,2,True,STAND,344,0.0755813953488372
18,2,True,HIT,334,-0.3083832335329341
18,11,True,STAND,259,-0.3359073359073359
18,11,True,HIT,225,-0.6044444444444445
20,11,True,STAND,275,-0.02909090909090909
20,11,True,HIT,304,-0.618421052631579
12,9,True,STAND,87,-0.5632183908045977
12,9,True,HIT,87,-0.27586206896551724
19,9,True,STAND,370,0.11891891891891893
19,9,True,HIT,367,-0.22888283378746593
15,7,True,STAND,249,-0.42168674698795183
15,7,True,HIT,253,-0.20553359683794467
15,3,True,STAND,259,-0.22007722007722008
15,3,True,HIT,255,-0.17254901960784313
17,9,True,STAND,316,-0.370253164556962
17,9,True,HIT,308,-0.35064935064935066
18,4,True,STAND,365,0.2465753424657534
18,4,True,HIT,316,-0.17721518987341772
14,7,True,STAND,265,-0.4641509433962264
14,7,True,HIT,222,-0.04054054054054054
19,6,True,STAND,351,0.4586894586894587
19,6,True,HIT,343,-0.09912536443148688
19,8,True,STAND,287,0.6167247386759582
19,8,True,HIT,288,-0.2743055555555556
18,3,True,STAND,337,0.09198813056379822
18,3,True,HIT,329,-0.303951367781155
16,4,True,STAND,275,-0.13818181818181818
