Win,Lose,Draw
0,0,0
331,619,50
358,588,54
331,599,70
337,596,67
385,546,69
368,557,75
360,569,71
344,589,67
400,528,72
382,550,68
369,559,72
380,554,66
387,526,87
406,522,72
407,517,76
402,538,60
396,530,74
397,522,81
380,534,86
391,519,90
407,509,84
390,535,75
402,527,71
406,523,71
411,503,86
391,519,90
407,511,82
416,512,72
407,526,67
438,479,83
399,518,83
419,508,73
421,490,89
427,498,75
395,520,85
428,493,79
393,521,86
401,526,73
414,511,75
393,535,72
392,527,81
400,499,101
435,477,88
438,471,91
447,480,73
406,509,85
409,517,74
428,506,66
402,527,71
417,482,101
422,493,85
405,504,91
428,505,67
423,483,94
426,489,85
434,478,88
410,498,92
435,480,85
420,481,99
426,479,95
438,481,81
433,478,89
409,506,85
403,519,78
414,509,77
395,509,96
406,511,83
391,496,113
415,504,81
417,495,88
428,490,82
380,531,89
416,509,75
395,527,78
412,514,74
421,491,88
422,495,83
397,514,89
430,489,81
410,500,90
411,500,89
416,500,84
391,534,75
390,529,81
426,500,74
446,460,94
432,483,85
405,519,76
412,506,82
411,498,91
411,505,84
435,477,88
450,453,97
432,481,87
401,508,91
421,510,69
415,513,72
416,490,94
406,495,99
395,528,77
413,504,83
409,506,85
407,505,88
404,509,87
434,491,75
404,495,101
436,482,82
418,481,101
420,488,92
421,476,103
428,473,99
409,504,87
376,549,75
400,519,81
413,485,102
392,512,96
415,498,87
379,527,94
435,484,81
414,494,92
428,485,87
388,537,75
391,489,120
421,506,73
419,479,102
431,494,75
416,509,75
437,484,79
395,516,89
429,497,74
409,502,89
437,479,84
384,544,72
415,496,89
410,501,89
421,491,88
414,515,71
382,513,105
425,495,80
456,469,75
386,537,77
425,495,80
403,486,111
395,490,115
440,469,91
448,476,76
426,475,99
431,480,89
428,486,86
435,490,75
398,522,80
416,492,92
412,504,84
417,512,71
421,485,94
407,500,93
404,518,78
420,488,92
427,490,83
398,530,72
417,500,83
427,486,87
401,506,93
438,460,102
425,485,90
448,484,68
403,526,71
425,493,82
400,513,87
416,508,76
416,486,98
412,499,89
424,488,88
416,496,88
399,507,94
424,483,93
403,523,74
376,524,100
413,509,78
412,505,83
419,497,84
389,517,94
429,487,84
419,492,89
425,485,90
433,491,76
420,493,87
420,483,97
392,509,99
412,504,84
391,508,101
405,515,80
418,488,94
392,520,88
429,488,83
440,484,76
402,518,80
417,483,100
433,495,72
390,519,91
416,497,87
415,488,97
409,500,91
404,519,77
412,508,80
430,472,98
413,496,91
409,510,81
439,477,84
404,503,93
399,498,103
433,479,88
440,476,84
411,515,74
418,507,75
429,487,84
431,481,88
384,540,76
399,514,87
387,536,77
423,486,91
396,502,102
410,516,74
414,483,103
426,480,94
398,513,89
416,485,99
412,484,104
404,505,91
407,518,75
421,492,87
409,499,92
431,479,90
420,513,67
402,519,79
392,515,93
412,502,86
410,515,75
409,500,91
406,505,89
425,488,87
433,483,84
424,487,89
424,493,83
398,507,95
394,533,73
419,498,83
418,480,102
429,499,72
434,483,83
423,500,77
385,518,97
412,506,82
408,502,90
400,520,80
419,486,95
426,464,110
431,484,85
389,526,85
402,513,85
392,521,87
423,491,86
376,531,93
412,497,91
418,511,71
414,490,96
404,514,82
415,504,81
434,484,82
420,494,86
416,492,92
411,504,85
383,523,94
421,494,85
410,508,82
391,524,85
410,505,85
408,508,84
390,517,93
397,513,90
436,482,82
385,527,88
414,496,90
398,519,83
402,525,73
407,502,91
395,509,96
404,524,72
414,501,85
402,490,108
413,519,68
448,464,88
419,491,90
427,488,85
435,479,86
415,507,78
403,510,87
403,493,104
397,511,92
397,517,86
422,502,76
397,517,86
415,508,77
411,496,93
423,494,83
424,490,86
446,493,61
408,512,80
403,508,89
395,520,85
423,497,80
441,477,82
417,500,83
411,516,73
431,480,89
436,483,81
427,502,71
439,465,96
421,491,88
394,513,93
433,472,95
393,525,82
424,492,84
401,513,86
434,489,77
391,507,102
408,503,89
411,524,65
425,492,83
425,504,71
421,489,90
434,478,88
431,478,91
394,517,89
421,499,80
393,524,83
419,488,93
444,483,73
445,485,70
435,477,88
405,499,96
408,509,83
393,519,88
404,505,91
413,494,93
386,549,65
428,497,75
418,494,88
414,514,72
406,495,99
414,482,104
430,488,82
394,524,82
427,511,62
437,468,95
424,500,76
418,499,83
416,492,92
447,496,57
420,487,93
427,485,88
407,521,72
395,528,77
383,526,91
439,486,75
403,511,86
404,511,85
425,484,91
414,499,87
414,493,93
391,528,81
395,502,103
408,499,93
414,506,80
403,493,104
424,497,79
387,522,91
417,486,97
436,481,83
418,506,76
420,491,89
412,520,68
395,514,91
433,475,92
434,487,79
398,506,96
400,514,86
385,530,85
419,494,87
412,506,82
401,519,80
439,479,82
396,514,90
414,501,85
422,481,97
424,498,78
414,502,84
417,493,90
417,501,82
416,488,96
396,502,102
432,470,98
406,509,85
408,502,90
398,503,99
407,498,95
438,494,68
412,503,85
404,518,78
432,504,64
395,526,79
411,504,85
406,499,95
418,491,91
434,476,90
389,515,96
421,484,95
373,545,82
403,524,73
406,495,99
417,505,78
419,510,71
437,475,88
420,501,79
420,506,74
391,537,72
409,511,80
439,486,75
414,500,86
418,503,79
411,501,88
410,501,89
419,493,88
406,496,98
414,502,84
417,493,90
424,486,90
408,513,79
407,519,74
423,496,81
426,487,87
394,511,95
428,493,79
444,478,78
410,498,92
397,527,76
418,488,94
410,503,87
415,495,90
399,508,93
429,476,95
392,506,102
406,503,91
418,475,107
417,504,79
394,519,87
423,482,95
403,511,86
399,525,76
394,514,92
418,487,95
406,504,90
417,482,101
410,496,94
429,492,79
405,511,84
408,507,85
401,493,106
452,477,71
437,490,73
370,544,86
420,497,83
413,515,72
410,510,80
392,519,89
419,509,72
418,498,84
405,501,94
437,476,87
425,490,85
393,522,85
416,505,79
437,486,77
390,514,96
412,475,113
377,521,102
418,511,71
412,500,88
413,490,97
412,518,70
420,476,104
400,506,94
410,503,87
405,500,95
435,501,64
421,494,85
444,470,86
405,516,79
395,497,108
