Win,Lose,Draw
0,0,0
403,538,59
401,513,86
407,522,71
406,517,77
398,529,73
403,519,78
401,510,89
411,520,69
378,546,76
401,508,91
417,499,84
406,537,57
421,507,72
424,496,80
424,510,66
395,519,86
412,511,77
407,528,65
404,523,73
437,501,62
399,523,78
432,487,81
408,506,86
400,521,79
424,511,65
443,471,86
402,511,87
400,524,76
397,519,84
420,517,63
436,492,72
374,564,62
403,520,77
417,520,63
392,541,67
385,543,72
402,521,77
398,520,82
389,540,71
397,535,68
399,538,63
426,495,79
393,514,93
400,515,85
391,534,75
440,474,86
419,525,56
413,518,69
398,525,77
425,507,68
384,536,80
422,509,69
405,517,78
406,520,74
428,508,64
405,522,73
404,523,73
378,532,90
385,550,65
404,517,79
382,542,76
394,531,75
403,531,66
396,536,68
407,521,72
412,504,84
430,487,83
397,532,71
405,500,95
385,541,74
388,537,75
400,528,72
405,513,82
394,528,78
419,525,56
416,508,76
419,509,72
398,515,87
411,526,63
404,529,67
442,487,71
385,524,91
393,526,81
419,511,70
366,552,82
417,523,60
389,543,68
432,493,75
414,511,75
405,509,86
421,494,85
394,524,82
411,510,79
442,486,72
413,512,75
423,500,77
422,509,69
403,517,80
425,509,66
392,524,84
416,514,70
407,509,84
407,520,73
399,530,71
415,506,79
395,543,62
428,508,64
385,534,81
393,515,92
397,531,72
435,490,75
397,534,69
378,551,71
418,506,76
383,545,72
396,531,73
436,496,68
414,507,79
418,508,74
393,544,63
425,514,61
397,518,85
401,519,80
377,533,90
389,524,87
396,532,72
422,502,76
400,516,84
401,525,74
412,518,70
416,507,77
412,512,76
390,536,74
409,515,76
389,535,76
381,538,81
407,518,75
407,526,67
425,512,63
396,537,67
425,496,79
396,534,70
419,510,71
423,498,79
394,537,69
418,507,75
383,549,68
426,501,73
442,486,72
391,538,71
382,532,86
384,548,68
390,530,80
430,502,68
385,539,76
416,506,78
419,494,87
430,493,77
411,520,69
399,522,79
395,514,91
415,527,58
404,526,70
386,540,74
436,505,59
408,510,82
424,511,65
415,503,82
414,503,83
436,483,81
401,523,76
421,507,72
413,515,72
411,512,77
409,515,76
407,508,85
393,521,86
407,515,78
418,499,83
388,537,75
385,534,81
417,510,73
384,542,74
384,531,85
390,518,92
427,503,70
402,530,68
401,519,80
400,511,89
378,547,75
433,510,57
427,489,84
407,519,74
425,505,70
413,515,72
385,533,82
400,530,70
403,523,74
392,534,74
403,531,66
401,516,83
389,517,94
408,519,73
406,526,68
405,516,79
383,530,87
391,535,74
428,506,66
377,558,65
385,557,58
415,503,82
428,495,77
398,530,72
410,532,58
415,517,68
391,555,54
414,511,75
406,524,70
399,531,70
400,531,69
391,527,82
413,512,75
390,533,77
403,535,62
397,518,85
372,544,84
392,532,76
403,525,72
407,515,78
406,511,83
410,518,72
376,540,84
406,521,73
398,528,74
427,513,60
390,538,72
437,490,73
409,521,70
412,511,77
409,516,75
425,504,71
401,527,72
422,502,76
403,518,79
418,504,78
417,514,69
416,509,75
422,519,59
407,519,74
394,538,68
412,525,63
392,542,66
389,534,77
400,507,93
380,529,91
420,512,68
432,489,79
414,507,79
401,520,79
386,543,71
423,503,74
412,509,79
396,524,80
418,508,74
403,531,66
398,542,60
410,525,65
418,498,84
403,519,78
429,496,75
437,495,68
423,512,65
437,481,82
402,521,77
400,529,71
420,516,64
393,535,72
430,507,63
407,529,64
402,524,74
395,539,66
379,547,74
394,537,69
409,514,77
396,525,79
402,533,65
424,508,68
416,526,58
399,534,67
405,512,83
383,545,72
407,521,72
403,505,92
412,513,75
384,545,71
392,539,69
411,522,67
403,533,64
411,504,85
418,503,79
422,511,67
401,526,73
434,471,95
387,523,90
419,509,72
394,518,88
427,501,72
435,490,75
396,530,74
403,524,73
406,524,70
451,466,83
436,489,75
390,530,80
420,514,66
433,494,73
410,520,70
402,529,69
410,519,71
373,561,66
413,506,81
404,529,67
418,504,78
403,519,78
398,524,78
396,528,76
402,521,77
413,521,66
431,486,83
411,517,72
423,515,62
407,522,71
419,504,77
400,529,71
406,511,83
401,517,82
410,522,68
401,527,72
409,509,82
417,507,76
420,501,79
396,526,78
416,514,70
408,519,73
380,541,79
409,516,75
434,494,72
374,538,88
417,505,78
403,525,72
417,516,67
419,510,71
422,500,78
396,522,82
398,537,65
425,508,67
410,510,80
410,512,78
412,514,74
419,504,77
396,525,79
420,495,85
449,484,67
389,527,84
417,510,73
391,526,83
408,502,90
411,506,83
427,502,71
390,538,72
413,508,79
394,532,74
417,500,83
414,520,66
436,483,81
397,522,81
403,530,67
412,499,89
400,518,82
402,530,68
398,527,75
395,536,69
394,519,87
417,520,63
427,501,72
420,507,73
399,525,76
375,547,78
376,549,75
423,505,72
418,513,69
419,510,71
414,517,69
428,492,80
414,514,72
417,519,64
416,499,85
420,504,76
390,536,74
372,563,65
409,518,73
434,492,74
374,545,81
417,508,75
412,511,77
410,517,73
430,500,70
