Player Hand,Dealer Hand,Player Ace 11,Action,Times Selected,Q Value
17,11,False,STAND,3900,-0.6543589743589744
17,11,False,HIT,1,-36.0
20,5,False,STAND,4475,0.6574301675977654
20,5,False,HIT,1,-7.0
16,9,False,STAND,3884,-0.5422245108135942
16,9,False,HIT,1,-4.0
18,4,True,STAND,555,0.16036036036036036
18,4,True,HIT,3,-1.8649272914964097
14,4,False,STAND,1,-1.0
14,4,False,HIT,3272,-0.3442893559370704
18,4,False,STAND,1,-1.0
18,4,False,HIT,3308,-0.39730938358877027
15,6,False,STAND,3472,-0.16532258064516128
15,6,False,HIT,2,-1.5705394091310518
17,2,False,STAND,4366,-0.13605130554283096
17,2,False,HIT,2,-0.5
13,10,False,STAND,3,-0.6666666666666666
13,10,False,HIT,17320,-0.14746345712991368
18,5,False,STAND,2855,0.20350262697022767
18,5,False,HIT,2,-0.5
15,2,False,STAND,1,-1.0
15,2,False,HIT,4131,-0.284800225977652
14,8,False,STAND,3665,-0.5407912687585266
14,8,False,HIT,4,-0.7543116678475607
15,8,False,STAND,3633,-0.5279383429672447
15,8,False,HIT,2,-0.9583065416158416
15,11,False,STAND,6,-0.6666666666666666
15,11,False,HIT,4050,-0.3825841191870742
14,10,False,STAND,1,-1.0
14,10,False,HIT,18234,-0.1545613173800109
15,4,False,STAND,1,-1.0
15,4,False,HIT,3871,-0.309638397362261
14,9,False,STAND,1,-1.0
14,9,False,HIT,4137,-0.30166725862197385
19,9,False,STAND,2939,0.26471588975842125
19,9,False,HIT,1,-1.0
17,8,True,STAND,536,-0.4141791044776119
17,8,True,HIT,2,-2.0798344884604107
17,4,False,STAND,3766,-0.1046202867764206
17,4,False,HIT,2,-0.9506222135518287
19,4,False,STAND,3491,0.4001718705242051
19,4,False,HIT,2,-0.5
15,9,False,STAND,4332,-0.5586334256694367
15,9,False,HIT,10,-0.5719146899518596
18,10,False,STAND,15190,-0.2544437129690586
18,10,False,HIT,1,-1.0
16,10,False,STAND,17431,-0.580460099822156
16,10,False,HIT,1,-1.0
12,5,False,STAND,4200,-0.1392857142857143
12,5,False,HIT,2,-0.8165418976329972
19,7,False,STAND,3549,0.6043956043956044
19,7,False,HIT,2,-0.5
16,2,False,STAND,1,-1.0
16,2,False,HIT,4174,-0.26442796017408854
20,2,False,STAND,5554,0.6199135758012243
20,2,False,HIT,1,-1.0
19,2,False,STAND,4021,0.3583685650335737
19,2,False,HIT,1,0.0
15,2,True,STAND,480,-0.3020833333333333
15,2,True,HIT,2,-5.007932010165815
13,11,True,STAND,385,-0.8441558441558441
13,11,True,HIT,2,-16.53417299883629
13,11,False,STAND,4410,-0.7666666666666667
13,11,False,HIT,1,-1.0
17,4,True,STAND,524,-0.04961832061068702
17,4,True,HIT,1,-0.24253862192310624
12,7,False,STAND,4202,-0.4985721085197525
12,7,False,HIT,2,-1.117922549526142
17,2,True,STAND,541,-0.14972273567467653
17,2,True,HIT,2,-0.3638692328038755
20,10,False,STAND,19828,0.41229574339318137
20,10,False,HIT,3,-1.0
17,10,False,STAND,16630,-0.4841250751653638
17,10,False,HIT,1,-1.0
16,6,False,STAND,1,-1.0
16,6,False,HIT,2975,-0.3243881528098627
19,11,False,STAND,1,-1.0
19,11,False,HIT,3492,-0.5636658048819138
14,8,True,STAND,479,-0.5490605427974948
14,8,True,HIT,12,-1.086657395556608
20,8,True,STAND,611,0.8134206219312602
20,8,True,HIT,6,-1.6355486940589348
20,8,False,STAND,4628,0.7687986171132238
20,8,False,HIT,1,0.0
13,5,False,STAND,3884,-0.1300205973223481
13,5,False,HIT,3,-0.6474005577299099
15,10,False,STAND,18635,-0.5740810303192917
15,10,False,HIT,1,-0.75
19,10,False,STAND,14627,-0.025022219183701375
19,10,False,HIT,1,-1.0
16,3,False,STAND,3320,-0.25
16,3,False,HIT,3,-0.6666666666666666
12,11,False,STAND,1,-1.0
12,11,False,HIT,4185,-0.3438814720419668
12,10,False,STAND,16,-0.4375
12,10,False,HIT,16674,-0.13988490500321615
13,10,True,STAND,1922,-0.5645161290322581
13,10,True,HIT,1,-4.396774271880316
17,10,True,STAND,2313,-0.4535235624729788
17,10,True,HIT,1,-0.8870395757497549
20,9,False,STAND,4956,0.7225585149313963
20,9,False,HIT,1,-1.0
15,7,False,STAND,10,-0.6
15,7,False,HIT,3853,-0.278037439751404
12,2,False,STAND,1,-1.0
12,2,False,HIT,3705,-0.2718413412859817
20,6,False,STAND,4582,0.6815800960279353
20,6,False,HIT,1,-1.0
13,4,True,STAND,492,-0.20934959349593496
13,4,True,HIT,3,-2.323143000131705
20,10,True,STAND,2600,0.42653846153846153
20,10,True,HIT,1,-1.75
19,8,False,STAND,2986,0.5689886135298058
19,8,False,HIT,2,-0.47710675169103056
13,9,False,STAND,4439,-0.5613876999324172
13,9,False,HIT,3,-1.2305105907260347
19,6,False,STAND,2974,0.4919300605245461
19,5,False,STAND,1,-1.0
19,5,False,HIT,2723,-0.46596821680043926
13,2,False,STAND,1,-1.0
13,2,False,HIT,4179,-0.26290298137584794
12,4,False,STAND,4074,-0.18041237113402062
12,4,False,HIT,3,-1.4824447712148194
19,3,False,STAND,2778,0.36537077033837295
19,3,False,HIT,1,-1.0
20,11,False,STAND,5262,0.12428734321550741
20,11,False,HIT,4,-0.75
16,6,True,STAND,556,-0.12949640287769784
16,6,True,HIT,3,-0.771269339137057
17,6,True,STAND,415,0.04096385542168675
